condition,layer,task_i,task_j,cosine_similarity
no-prompt,0,F4,F1,6.078744221518368e-15
no-prompt,0,F4,F2,1.9671463286619494e-15
no-prompt,0,F4,F3,0.9999999972834286
no-prompt,0,F4,F4,0.9999999906368876
no-prompt,0,F4,F5,-0.9999999896873111
no-prompt,0,F5,A1,-0.00021633830900862937
no-prompt,0,F5,A2,5.002858816045209e-05
no-prompt,0,F5,A3,0.00022840856234894948
no-prompt,0,F5,F0,-3.708423086509357e-15
no-prompt,0,F5,F1,-6.126390395163911e-15
no-prompt,0,F5,F2,-1.984961254899255e-15
no-prompt,0,F5,F3,-0.9999999979500895
no-prompt,0,F5,F4,-0.9999999896873111
no-prompt,0,F5,F5,0.999999990763181
no-prompt,1,A1,A1,0.9999999999958669
no-prompt,1,A1,A2,0.14266718435722273
no-prompt,1,A1,A3,0.1389555215178179
no-prompt,1,A1,F0,0.0021453132666159197
no-prompt,1,A1,F1,0.011101757921776811
no-prompt,1,A1,F2,0.015851223914126262
no-prompt,1,A1,F3,0.0042665853059909555
no-prompt,1,A1,F4,0.0002577640369369011
no-prompt,1,A1,F5,-0.009002588519713094
no-prompt,1,A2,A1,0.14266718435722273
no-prompt,1,A2,A2,0.9999999999962886
no-prompt,1,A2,A3,0.1761589032784712
no-prompt,1,A2,F0,0.005457853609958941
no-prompt,1,A2,F1,-0.0027987457767684356
no-prompt,1,A2,F2,0.012769223083764316
no-prompt,1,A2,F3,0.0015994171557502
no-prompt,1,A2,F4,0.004872385286818097
no-prompt,1,A2,F5,0.009964888761282327
no-prompt,1,A3,A1,0.1389555215178179
no-prompt,1,A3,A2,0.1761589032784712
no-prompt,1,A3,A3,0.9999999999965553
no-prompt,1,A3,F0,0.008009430698483623
no-prompt,1,A3,F1,-0.012602844377851332
no-prompt,1,A3,F2,-0.006684626908940619
no-prompt,1,A3,F3,-0.0019701227399069672
no-prompt,1,A3,F4,0.0024776828866817724
no-prompt,1,A3,F5,0.010673319240534045
no-prompt,1,F0,A1,0.0021453132666159197
no-prompt,1,F0,A2,0.005457853609958941
no-prompt,1,F0,A3,0.008009430698483623
no-prompt,1,F0,F0,0.9999999998807318
no-prompt,1,F0,F1,-0.3875777180975847
no-prompt,1,F0,F2,0.12036163346288634
no-prompt,1,F0,F3,0.04085047018972449
no-prompt,1,F0,F4,0.06684012845685203
no-prompt,1,F0,F5,0.044487244811261394
no-prompt,1,F1,A1,0.011101757921776811
no-prompt,1,F1,A2,-0.0027987457767684356
no-prompt,1,F1,A3,-0.012602844377851332
no-prompt,1,F1,F0,-0.3875777180975847
no-prompt,1,F1,F1,0.9999999998811891
no-prompt,1,F1,F2,-0.1530682129982214
no-prompt,1,F1,F3,-0.011336568128110945
no-prompt,1,F1,F4,-0.07887527806235263
no-prompt,1,F1,F5,-0.042311617527782674
no-prompt,1,F2,A1,0.015851223914126262
no-prompt,1,F2,A2,0.012769223083764316
no-prompt,1,F2,A3,-0.006684626908940619
no-prompt,1,F2,F0,0.12036163346288634
no-prompt,1,F2,F1,-0.1530682129982214
no-prompt,1,F2,F2,0.9999999999191896
no-prompt,1,F2,F3,-0.007464937800598495
no-prompt,1,F2,F4,0.040790042691113436
no-prompt,1,F2,F5,-0.00761952663861285
no-prompt,1,F3,A1,0.0042665853059909555
no-prompt,1,F3,A2,0.0015994171557502
no-prompt,1,F3,A3,-0.0019701227399069672
no-prompt,1,F3,F0,0.04085047018972449
no-prompt,1,F3,F1,-0.011336568128110945
no-prompt,1,F3,F2,-0.007464937800598495
no-prompt,1,F3,F3,0.9999999999433904
no-prompt,1,F3,F4,0.06099480181012331
no-prompt,1,F3,F5,0.07300587377998002
no-prompt,1,F4,A1,0.0002577640369369011
no-prompt,1,F4,A2,0.004872385286818097
no-prompt,1,F4,A3,0.0024776828866817724
no-prompt,1,F4,F0,0.06684012845685203
no-prompt,1,F4,F1,-0.07887527806235263
no-prompt,1,F4,F2,0.040790042691113436
no-prompt,1,F4,F3,0.06099480181012331
no-prompt,1,F4,F4,0.9999999999372372
no-prompt,1,F4,F5,0.18250993559414694
no-prompt,1,F5,A1,-0.009002588519713094
no-prompt,1,F5,A2,0.009964888761282327
no-prompt,1,F5,A3,0.010673319240534045
no-prompt,1,F5,F0,0.044487244811261394
no-prompt,1,F5,F1,-0.042311617527782674
no-prompt,1,F5,F2,-0.00761952663861285
no-prompt,1,F5,F3,0.07300587377998002
no-prompt,1,F5,F4,0.18250993559414694
no-prompt,1,F5,F5,0.9999999999450859
no-prompt,2,A1,A1,0.9999999999989304
no-prompt,2,A1,A2,0.03494613008926869
no-prompt,2,A1,A3,0.041836683682999844
no-prompt,2,A1,F0,0.008576453655702556
no-prompt,2,A1,F1,-0.004448016670810949
no-prompt,2,A1,F2,0.01628489519395021
no-prompt,2,A1,F3,0.008841425883768649
no-prompt,2,A1,F4,0.0071043259960507366
no-prompt,2,A1,F5,0.01192185137935299
no-prompt,2,A2,A1,0.03494613008926869
no-prompt,2,A2,A2,0.9999999999989146
no-prompt,2,A2,A3,0.053805383199295294
no-prompt,2,A2,F0,0.008842753769684844
no-prompt,2,A2,F1,-0.007638903890548808
no-prompt,2,A2,F2,0.0021705893759176873
no-prompt,2,A2,F3,0.011385761715071932
no-prompt,2,A2,F4,-0.0005162269116531769
no-prompt,2,A2,F5,0.02244460003917755
no-prompt,2,A3,A1,0.041836683682999844
no-prompt,2,A3,A2,0.053805383199295294
no-prompt,2,A3,A3,0.9999999999990247
no-prompt,2,A3,F0,-0.001660580428407531
no-prompt,2,A3,F1,-0.003478059546290949
no-prompt,2,A3,F2,-0.009709524293775154
no-prompt,2,A3,F3,0.002398127716543738
no-prompt,2,A3,F4,-0.010882013794912864
no-prompt,2,A3,F5,-0.012842741557656072
no-prompt,2,F0,A1,0.008576453655702556
no-prompt,2,F0,A2,0.008842753769684844
no-prompt,2,F0,A3,-0.001660580428407531
no-prompt,2,F0,F0,0.9999999999912818
no-prompt,2,F0,F1,-0.36218685442614157
no-prompt,2,F0,F2,0.07590997230639114
no-prompt,2,F0,F3,0.020068776588092932
no-prompt,2,F0,F4,0.034096529465474805
no-prompt,2,F0,F5,0.02832991739827353
no-prompt,2,F1,A1,-0.004448016670810949
no-prompt,2,F1,A2,-0.007638903890548808
no-prompt,2,F1,A3,-0.003478059546290949
no-prompt,2,F1,F0,-0.36218685442614157
no-prompt,2,F1,F1,0.9999999999899477
no-prompt,2,F1,F2,-0.061428017146000165
no-prompt,2,F1,F3,-0.03160565339734202
no-prompt,2,F1,F4,-0.04697055221906557
no-prompt,2,F1,F5,-0.019091417566242923
no-prompt,2,F2,A1,0.01628489519395021
no-prompt,2,F2,A2,0.0021705893759176873
no-prompt,2,F2,A3,-0.009709524293775154
no-prompt,2,F2,F0,0.07590997230639114
no-prompt,2,F2,F1,-0.061428017146000165
no-prompt,2,F2,F2,0.9999999999911318
no-prompt,2,F2,F3,0.0031309520786085873
no-prompt,2,F2,F4,0.02145022350826148
no-prompt,2,F2,F5,-0.010363834630378758
no-prompt,2,F3,A1,0.008841425883768649
no-prompt,2,F3,A2,0.011385761715071932
no-prompt,2,F3,A3,0.002398127716543738
no-prompt,2,F3,F0,0.020068776588092932
no-prompt,2,F3,F1,-0.03160565339734202
no-prompt,2,F3,F2,0.0031309520786085873
no-prompt,2,F3,F3,0.999999999994389
no-prompt,2,F3,F4,0.0027180591493145777
no-prompt,2,F3,F5,0.003947765410816662
no-prompt,2,F4,A1,0.0071043259960507366
no-prompt,2,F4,A2,-0.0005162269116531769
no-prompt,2,F4,A3,-0.010882013794912864
no-prompt,2,F4,F0,0.034096529465474805
no-prompt,2,F4,F1,-0.04697055221906557
no-prompt,2,F4,F2,0.02145022350826148
no-prompt,2,F4,F3,0.0027180591493145777
no-prompt,2,F4,F4,0.9999999999932995
no-prompt,2,F4,F5,0.10832624773867928
no-prompt,2,F5,A1,0.01192185137935299
no-prompt,2,F5,A2,0.02244460003917755
no-prompt,2,F5,A3,-0.012842741557656072
no-prompt,2,F5,F0,0.02832991739827353
no-prompt,2,F5,F1,-0.019091417566242923
no-prompt,2,F5,F2,-0.010363834630378758
no-prompt,2,F5,F3,0.003947765410816662
no-prompt,2,F5,F4,0.10832624773867928
no-prompt,2,F5,F5,0.9999999999935987
no-prompt,3,A1,A1,0.9999999999989716
no-prompt,3,A1,A2,0.02581082854975419
no-prompt,3,A1,A3,0.037335019050970954
no-prompt,3,A1,F0,0.0033835484654746533
no-prompt,3,A1,F1,-0.004727997676487414
no-prompt,3,A1,F2,0.025246874608900165
no-prompt,3,A1,F3,0.011816896180829312
no-prompt,3,A1,F4,-0.009485733376380865
no-prompt,3,A1,F5,-0.010151280546321676
no-prompt,3,A2,A1,0.02581082854975419
no-prompt,3,A2,A2,0.9999999999989375
no-prompt,3,A2,A3,0.08127891747161814
no-prompt,3,A2,F0,-0.0022074986927559624
no-prompt,3,A2,F1,-0.005216411768772682
no-prompt,3,A2,F2,-0.006194669717783739
no-prompt,3,A2,F3,0.008940754946933416
no-prompt,3,A2,F4,-0.004713569112448927
no-prompt,3,A2,F5,0.005490806251940157
no-prompt,3,A3,A1,0.037335019050970954
no-prompt,3,A3,A2,0.08127891747161814
no-prompt,3,A3,A3,0.9999999999990009
no-prompt,3,A3,F0,-0.002546818613523938
no-prompt,3,A3,F1,-0.019373128391333365
no-prompt,3,A3,F2,-0.011126809661708025
no-prompt,3,A3,F3,-0.003996676919680063
no-prompt,3,A3,F4,-0.008127903386431674
no-prompt,3,A3,F5,-0.009186304948695205
no-prompt,3,F0,A1,0.0033835484654746533
no-prompt,3,F0,A2,-0.0022074986927559624
no-prompt,3,F0,A3,-0.002546818613523938
no-prompt,3,F0,F0,0.9999999999952758
no-prompt,3,F0,F1,-0.5377836601957502
no-prompt,3,F0,F2,0.07589977320881072
no-prompt,3,F0,F3,0.028542887164214856
no-prompt,3,F0,F4,0.0504966939018655
no-prompt,3,F0,F5,0.033824575585728996
no-prompt,3,F1,A1,-0.004727997676487414
no-prompt,3,F1,A2,-0.005216411768772682
no-prompt,3,F1,A3,-0.019373128391333365
no-prompt,3,F1,F0,-0.5377836601957502
no-prompt,3,F1,F1,0.9999999999951227
no-prompt,3,F1,F2,-0.0605420640450524
no-prompt,3,F1,F3,-0.031047272256313915
no-prompt,3,F1,F4,-0.05834635022242843
no-prompt,3,F1,F5,-0.047216538959149935
no-prompt,3,F2,A1,0.025246874608900165
no-prompt,3,F2,A2,-0.006194669717783739
no-prompt,3,F2,A3,-0.011126809661708025
no-prompt,3,F2,F0,0.07589977320881072
no-prompt,3,F2,F1,-0.0605420640450524
no-prompt,3,F2,F2,0.9999999999921683
no-prompt,3,F2,F3,0.010834003332553308
no-prompt,3,F2,F4,0.01252916695627925
no-prompt,3,F2,F5,0.0058722035952845615
no-prompt,3,F3,A1,0.011816896180829312
no-prompt,3,F3,A2,0.008940754946933416
no-prompt,3,F3,A3,-0.003996676919680063
no-prompt,3,F3,F0,0.028542887164214856
no-prompt,3,F3,F1,-0.031047272256313915
no-prompt,3,F3,F2,0.010834003332553308
no-prompt,3,F3,F3,0.9999999999951434
no-prompt,3,F3,F4,0.0094016407445916
no-prompt,3,F3,F5,0.028352829767621605
no-prompt,3,F4,A1,-0.009485733376380865
no-prompt,3,F4,A2,-0.004713569112448927
no-prompt,3,F4,A3,-0.008127903386431674
no-prompt,3,F4,F0,0.0504966939018655
no-prompt,3,F4,F1,-0.05834635022242843
no-prompt,3,F4,F2,0.01252916695627925
no-prompt,3,F4,F3,0.0094016407445916
no-prompt,3,F4,F4,0.9999999999944549
no-prompt,3,F4,F5,0.12920703167568562
no-prompt,3,F5,A1,-0.010151280546321676
no-prompt,3,F5,A2,0.005490806251940157
no-prompt,3,F5,A3,-0.009186304948695205
no-prompt,3,F5,F0,0.033824575585728996
no-prompt,3,F5,F1,-0.047216538959149935
no-prompt,3,F5,F2,0.0058722035952845615
no-prompt,3,F5,F3,0.028352829767621605
no-prompt,3,F5,F4,0.12920703167568562
no-prompt,3,F5,F5,0.9999999999943983
no-prompt,4,A1,A1,0.9999999999989401
no-prompt,4,A1,A2,0.0341247924838416
no-prompt,4,A1,A3,0.046352194213165665
no-prompt,4,A1,F0,-0.0016219218671145834
no-prompt,4,A1,F1,0.008003362899351416
no-prompt,4,A1,F2,0.014839875790599978
no-prompt,4,A1,F3,0.011249948851524035
no-prompt,4,A1,F4,-0.005011309031537363
no-prompt,4,A1,F5,-0.002244951006114368
no-prompt,4,A2,A1,0.0341247924838416
no-prompt,4,A2,A2,0.9999999999988862
no-prompt,4,A2,A3,0.07992480836284627
no-prompt,4,A2,F0,0.008079820509334385
no-prompt,4,A2,F1,-0.01194196020692876
no-prompt,4,A2,F2,-0.003576615659601433
no-prompt,4,A2,F3,-0.007474380059606381
no-prompt,4,A2,F4,-0.00905853065563186
no-prompt,4,A2,F5,0.00597240133456553
no-prompt,4,A3,A1,0.046352194213165665
no-prompt,4,A3,A2,0.07992480836284627
no-prompt,4,A3,A3,0.999999999998959
no-prompt,4,A3,F0,0.01087636331295383
no-prompt,4,A3,F1,-0.00840501499294729
no-prompt,4,A3,F2,-0.013211328537935142
no-prompt,4,A3,F3,-0.003836755119734913
no-prompt,4,A3,F4,0.004081090014117789
no-prompt,4,A3,F5,-0.005320638375367365
no-prompt,4,F0,A1,-0.0016219218671145834
no-prompt,4,F0,A2,0.008079820509334385
no-prompt,4,F0,A3,0.01087636331295383
no-prompt,4,F0,F0,0.999999999997004
no-prompt,4,F0,F1,-0.5131404943126734
no-prompt,4,F0,F2,0.1124597130316936
no-prompt,4,F0,F3,0.04454050526258911
no-prompt,4,F0,F4,0.05595645223785998
no-prompt,4,F0,F5,0.03492360084336038
no-prompt,4,F1,A1,0.008003362899351416
no-prompt,4,F1,A2,-0.01194196020692876
no-prompt,4,F1,A3,-0.00840501499294729
no-prompt,4,F1,F0,-0.5131404943126734
no-prompt,4,F1,F1,0.9999999999968184
no-prompt,4,F1,F2,-0.10987986018926382
no-prompt,4,F1,F3,-0.04207572516246155
no-prompt,4,F1,F4,-0.04454982724824087
no-prompt,4,F1,F5,-0.0355012285623192
no-prompt,4,F2,A1,0.014839875790599978
no-prompt,4,F2,A2,-0.003576615659601433
no-prompt,4,F2,A3,-0.013211328537935142
no-prompt,4,F2,F0,0.1124597130316936
no-prompt,4,F2,F1,-0.10987986018926382
no-prompt,4,F2,F2,0.9999999999947184
no-prompt,4,F2,F3,0.027037588898063607
no-prompt,4,F2,F4,0.026758492928102836
no-prompt,4,F2,F5,0.019224305325078798
no-prompt,4,F3,A1,0.011249948851524035
no-prompt,4,F3,A2,-0.007474380059606381
no-prompt,4,F3,A3,-0.003836755119734913
no-prompt,4,F3,F0,0.04454050526258911
no-prompt,4,F3,F1,-0.04207572516246155
no-prompt,4,F3,F2,0.027037588898063607
no-prompt,4,F3,F3,0.9999999999961457
no-prompt,4,F3,F4,0.017950141686086832
no-prompt,4,F3,F5,0.03110652362463547
no-prompt,4,F4,A1,-0.005011309031537363
no-prompt,4,F4,A2,-0.00905853065563186
no-prompt,4,F4,A3,0.004081090014117789
no-prompt,4,F4,F0,0.05595645223785998
no-prompt,4,F4,F1,-0.04454982724824087
no-prompt,4,F4,F2,0.026758492928102836
no-prompt,4,F4,F3,0.017950141686086832
no-prompt,4,F4,F4,0.9999999999948598
no-prompt,4,F4,F5,0.12477602330352273
no-prompt,4,F5,A1,-0.002244951006114368
no-prompt,4,F5,A2,0.00597240133456553
no-prompt,4,F5,A3,-0.005320638375367365
no-prompt,4,F5,F0,0.03492360084336038
no-prompt,4,F5,F1,-0.0355012285623192
no-prompt,4,F5,F2,0.019224305325078798
no-prompt,4,F5,F3,0.03110652362463547
no-prompt,4,F5,F4,0.12477602330352273
no-prompt,4,F5,F5,0.9999999999945922
no-prompt,5,A1,A1,0.9999999999988053
no-prompt,5,A1,A2,0.028836920127160992
no-prompt,5,A1,A3,0.05215615315741186
no-prompt,5,A1,F0,-0.007115182835880453
no-prompt,5,A1,F1,0.005045033489067599
no-prompt,5,A1,F2,-0.002020739090723999
no-prompt,5,A1,F3,-0.00265962288894226
no-prompt,5,A1,F4,-0.005725645168907105
no-prompt,5,A1,F5,-0.004242433073772542
no-prompt,5,A2,A1,0.028836920127160992
no-prompt,5,A2,A2,0.9999999999986844
no-prompt,5,A2,A3,0.0932814461043931
no-prompt,5,A2,F0,0.0011765231895486878
no-prompt,5,A2,F1,-0.004507397129084926
no-prompt,5,A2,F2,-0.003149185377606419
no-prompt,5,A2,F3,-0.013710224888771147
no-prompt,5,A2,F4,-0.005684570393944786
no-prompt,5,A2,F5,0.0013006914196473521
no-prompt,5,A3,A1,0.05215615315741186
no-prompt,5,A3,A2,0.0932814461043931
no-prompt,5,A3,A3,0.9999999999988269
no-prompt,5,A3,F0,-0.0008045359617446726
no-prompt,5,A3,F1,-0.003710988959463493
no-prompt,5,A3,F2,-0.015314208075402078
no-prompt,5,A3,F3,-0.0012540763679794464
no-prompt,5,A3,F4,0.008957159067975238
no-prompt,5,A3,F5,-0.00815497762896987
no-prompt,5,F0,A1,-0.007115182835880453
no-prompt,5,F0,A2,0.0011765231895486878
no-prompt,5,F0,A3,-0.0008045359617446726
no-prompt,5,F0,F0,0.9999999999986408
no-prompt,5,F0,F1,-0.3917866966781863
no-prompt,5,F0,F2,0.09348750695459937
no-prompt,5,F0,F3,0.028201117455439427
no-prompt,5,F0,F4,0.019483519988216697
no-prompt,5,F0,F5,-0.0023545568724667562
no-prompt,5,F1,A1,0.005045033489067599
no-prompt,5,F1,A2,-0.004507397129084926
no-prompt,5,F1,A3,-0.003710988959463493
no-prompt,5,F1,F0,-0.3917866966781863
no-prompt,5,F1,F1,0.999999999998508
no-prompt,5,F1,F2,-0.08904976586292786
no-prompt,5,F1,F3,-0.004449150832494817
no-prompt,5,F1,F4,-0.008508010256343264
no-prompt,5,F1,F5,-0.005545717683403293
no-prompt,5,F2,A1,-0.002020739090723999
no-prompt,5,F2,A2,-0.003149185377606419
no-prompt,5,F2,A3,-0.015314208075402078
no-prompt,5,F2,F0,0.09348750695459937
no-prompt,5,F2,F1,-0.08904976586292786
no-prompt,5,F2,F2,0.9999999999973547
no-prompt,5,F2,F3,0.029943012716618235
no-prompt,5,F2,F4,0.02791994921645698
no-prompt,5,F2,F5,0.022663746127336154
no-prompt,5,F3,A1,-0.00265962288894226
no-prompt,5,F3,A2,-0.013710224888771147
no-prompt,5,F3,A3,-0.0012540763679794464
no-prompt,5,F3,F0,0.028201117455439427
no-prompt,5,F3,F1,-0.004449150832494817
no-prompt,5,F3,F2,0.029943012716618235
no-prompt,5,F3,F3,0.999999999996551
no-prompt,5,F3,F4,0.06026770243037844
no-prompt,5,F3,F5,0.020908031956018917
no-prompt,5,F4,A1,-0.005725645168907105
no-prompt,5,F4,A2,-0.005684570393944786
no-prompt,5,F4,A3,0.008957159067975238
no-prompt,5,F4,F0,0.019483519988216697
no-prompt,5,F4,F1,-0.008508010256343264
no-prompt,5,F4,F2,0.02791994921645698
no-prompt,5,F4,F3,0.06026770243037844
no-prompt,5,F4,F4,0.9999999999954153
no-prompt,5,F4,F5,0.14815706267810358
no-prompt,5,F5,A1,-0.004242433073772542
no-prompt,5,F5,A2,0.0013006914196473521
no-prompt,5,F5,A3,-0.00815497762896987
no-prompt,5,F5,F0,-0.0023545568724667562
no-prompt,5,F5,F1,-0.005545717683403293
no-prompt,5,F5,F2,0.022663746127336154
no-prompt,5,F5,F3,0.020908031956018917
no-prompt,5,F5,F4,0.14815706267810358
no-prompt,5,F5,F5,0.9999999999951197
no-prompt,6,A1,A1,0.9999999999988465
no-prompt,6,A1,A2,0.043203117152577804
no-prompt,6,A1,A3,0.05346015885059593
no-prompt,6,A1,F0,-0.0035023339425397323
no-prompt,6,A1,F1,0.0004033173915388419
no-prompt,6,A1,F2,0.0009417779390237449
no-prompt,6,A1,F3,0.00515037779049732
no-prompt,6,A1,F4,-0.012973437423014628
no-prompt,6,A1,F5,0.0021987351846338133
no-prompt,6,A2,A1,0.043203117152577804
no-prompt,6,A2,A2,0.9999999999986102
no-prompt,6,A2,A3,0.0968853131814605
no-prompt,6,A2,F0,0.008461612531819273
no-prompt,6,A2,F1,-0.005411476148415626
no-prompt,6,A2,F2,0.0020966889850846217
no-prompt,6,A2,F3,-0.009538039026475873
no-prompt,6,A2,F4,-0.010839844881580098
no-prompt,6,A2,F5,-0.0021379832089629875
no-prompt,6,A3,A1,0.05346015885059593
no-prompt,6,A3,A2,0.0968853131814605
no-prompt,6,A3,A3,0.999999999998804
no-prompt,6,A3,F0,0.004760248718290146
no-prompt,6,A3,F1,-0.0070526654835274755
no-prompt,6,A3,F2,0.0005962441111817938
no-prompt,6,A3,F3,-0.007320902852802122
no-prompt,6,A3,F4,0.0044881769619126485
no-prompt,6,A3,F5,-0.003474482141169097
no-prompt,6,F0,A1,-0.0035023339425397323
no-prompt,6,F0,A2,0.008461612531819273
no-prompt,6,F0,A3,0.004760248718290146
no-prompt,6,F0,F0,0.9999999999988263
no-prompt,6,F0,F1,-0.19503966140456175
no-prompt,6,F0,F2,0.05986676765912277
no-prompt,6,F0,F3,0.020029871450730843
no-prompt,6,F0,F4,0.00803546799603987
no-prompt,6,F0,F5,0.005515723137179439
no-prompt,6,F1,A1,0.0004033173915388419
no-prompt,6,F1,A2,-0.005411476148415626
no-prompt,6,F1,A3,-0.0070526654835274755
no-prompt,6,F1,F0,-0.19503966140456175
no-prompt,6,F1,F1,0.9999999999987721
no-prompt,6,F1,F2,-0.05208430148605976
no-prompt,6,F1,F3,-0.014002994502593777
no-prompt,6,F1,F4,-0.01120050391914494
no-prompt,6,F1,F5,0.00656669835308445
no-prompt,6,F2,A1,0.0009417779390237449
no-prompt,6,F2,A2,0.0020966889850846217
no-prompt,6,F2,A3,0.0005962441111817938
no-prompt,6,F2,F0,0.05986676765912277
no-prompt,6,F2,F1,-0.05208430148605976
no-prompt,6,F2,F2,0.9999999999978398
no-prompt,6,F2,F3,0.003950037966922373
no-prompt,6,F2,F4,0.0020658575323233563
no-prompt,6,F2,F5,0.02130240881253546
no-prompt,6,F3,A1,0.00515037779049732
no-prompt,6,F3,A2,-0.009538039026475873
no-prompt,6,F3,A3,-0.007320902852802122
no-prompt,6,F3,F0,0.020029871450730843
no-prompt,6,F3,F1,-0.014002994502593777
no-prompt,6,F3,F2,0.003950037966922373
no-prompt,6,F3,F3,0.9999999999966571
no-prompt,6,F3,F4,0.06578422004468847
no-prompt,6,F3,F5,0.005703446280902063
no-prompt,6,F4,A1,-0.012973437423014628
no-prompt,6,F4,A2,-0.010839844881580098
no-prompt,6,F4,A3,0.0044881769619126485
no-prompt,6,F4,F0,0.00803546799603987
no-prompt,6,F4,F1,-0.01120050391914494
no-prompt,6,F4,F2,0.0020658575323233563
no-prompt,6,F4,F3,0.06578422004468847
no-prompt,6,F4,F4,0.9999999999954994
no-prompt,6,F4,F5,0.12008940356721368
no-prompt,6,F5,A1,0.0021987351846338133
no-prompt,6,F5,A2,-0.0021379832089629875
no-prompt,6,F5,A3,-0.003474482141169097
no-prompt,6,F5,F0,0.005515723137179439
no-prompt,6,F5,F1,0.00656669835308445
no-prompt,6,F5,F2,0.02130240881253546
no-prompt,6,F5,F3,0.005703446280902063
no-prompt,6,F5,F4,0.12008940356721368
no-prompt,6,F5,F5,0.999999999995111
no-prompt,7,A1,A1,0.9999999999988411
no-prompt,7,A1,A2,0.04104970848749988
no-prompt,7,A1,A3,0.061433189753368776
no-prompt,7,A1,F0,-0.002676503452393388
no-prompt,7,A1,F1,-5.223645669576695e-05
no-prompt,7,A1,F2,0.0006674855133115277
no-prompt,7,A1,F3,0.010866596502888987
no-prompt,7,A1,F4,0.002039319972657
no-prompt,7,A1,F5,-0.009895364279626893
no-prompt,7,A2,A1,0.04104970848749988
no-prompt,7,A2,A2,0.999999999998646
no-prompt,7,A2,A3,0.08092707947035453
no-prompt,7,A2,F0,0.0007602510207819416
no-prompt,7,A2,F1,-0.01133336624365549
no-prompt,7,A2,F2,0.0009018361118218298
no-prompt,7,A2,F3,-0.0023260345602327402
no-prompt,7,A2,F4,-0.00790860233027869
no-prompt,7,A2,F5,0.0019100112654231196
no-prompt,7,A3,A1,0.061433189753368776
no-prompt,7,A3,A2,0.08092707947035453
no-prompt,7,A3,A3,0.9999999999987417
