statement,label,city,country,correct_country
The city of Qinhuangdao is not in Brazil.,1,Qinhuangdao,Brazil,China
The city of Jiaozhou is not in China.,0,Jiaozhou,China,China
The city of Kigali is not in South Korea.,1,Kigali,South Korea,Rwanda
The city of Orumiyeh is not in Iran.,0,Orumiyeh,Iran,Iran
The city of Ulsan is not in China.,1,Ulsan,China,South Korea
The city of Korla is not in Saudi Arabia.,1,Korla,Saudi Arabia,China
The city of Bikaner is not in India.,0,Bikaner,India,India
The city of Anshun is not in Morocco.,1,Anshun,Morocco,China
The city of Aparecida de Goiania is not in Brazil.,0,Aparecida de Goiania,Brazil,Brazil
The city of Guatemala City is not in China.,1,Guatemala City,China,Guatemala
The city of Erbil is not in the Philippines.,1,Erbil,the Philippines,Iraq
The city of Bijie is not in Egypt.,1,Bijie,Egypt,China
The city of Reynosa is not in India.,1,Reynosa,India,Mexico
The city of Guilin is not in Uzbekistan.,1,Guilin,Uzbekistan,China
The city of Qinhuangdao is not in China.,0,Qinhuangdao,China,China
The city of Bilimora is not in India.,0,Bilimora,India,India
The city of Bhayandar is not in India.,0,Bhayandar,India,India
The city of Tiruppur is not in China.,1,Tiruppur,China,India
The city of Nowrangapur is not in the United States.,1,Nowrangapur,the United States,India
The city of Bengbu is not in Mexico.,1,Bengbu,Mexico,China
The city of Akure is not in Nigeria.,0,Akure,Nigeria,Nigeria
The city of Zhoushan is not in Venezuela.,1,Zhoushan,Venezuela,China
The city of Xiamen is not in China.,0,Xiamen,China,China
The city of Bujumbura is not in Burundi.,0,Bujumbura,Burundi,Burundi
The city of Shuangyashan is not in South Africa.,1,Shuangyashan,South Africa,China
The city of Yinchuan is not in China.,0,Yinchuan,China,China
The city of Torreon is not in the Democratic Republic of the Congo.,1,Torreon,the Democratic Republic of the Congo,Mexico
The city of Santiago de Queretaro is not in Mexico.,0,Santiago de Queretaro,Mexico,Mexico
The city of Novokuznetsk is not in Russia.,0,Novokuznetsk,Russia,Russia
The city of Tirunelveli is not in India.,0,Tirunelveli,India,India
The city of Frankfurt am Main is not in China.,1,Frankfurt am Main,China,Germany
The city of Baotou is not in China.,0,Baotou,China,China
The city of Hamamatsu is not in Japan.,0,Hamamatsu,Japan,Japan
The city of Vadodara is not in India.,0,Vadodara,India,India
The city of Navi Mumbai is not in India.,0,Navi Mumbai,India,India
The city of Shenyang is not in Indonesia.,1,Shenyang,Indonesia,China
The city of Copenhagen is not in Denmark.,0,Copenhagen,Denmark,Denmark
The city of Puducherry is not in India.,0,Puducherry,India,India
The city of Eskisehir is not in China.,1,Eskisehir,China,Turkey
The city of Xianyang is not in China.,0,Xianyang,China,China
The city of Madurai is not in China.,1,Madurai,China,India
The city of Luohu District is not in China.,0,Luohu District,China,China
The city of Dalian is not in Uzbekistan.,1,Dalian,Uzbekistan,China
The city of Izmir is not in Turkey.,0,Izmir,Turkey,Turkey
The city of Ryazan' is not in Japan.,1,Ryazan',Japan,Russia
The city of Ciudad Nezahualcoyotl is not in Mexico.,0,Ciudad Nezahualcoyotl,Mexico,Mexico
The city of Fortaleza is not in China.,1,Fortaleza,China,Brazil
The city of Hoji ya Henda is not in Angola.,0,Hoji ya Henda,Angola,Angola
The city of Liaocheng is not in Iran.,1,Liaocheng,Iran,China
The city of Recife is not in Myanmar.,1,Recife,Myanmar,Brazil
The city of Kirkuk is not in China.,1,Kirkuk,China,Iraq
The city of Wanxian is not in Ethiopia.,1,Wanxian,Ethiopia,China
The city of Anshan is not in India.,1,Anshan,India,China
The city of Guigang is not in China.,0,Guigang,China,China
The city of Benguela is not in Venezuela.,1,Benguela,Venezuela,Angola
The city of Mysuru is not in China.,1,Mysuru,China,India
The city of Sokoto is not in the Philippines.,1,Sokoto,the Philippines,Nigeria
The city of Santiago de Cuba is not in Brazil.,1,Santiago de Cuba,Brazil,Cuba
The city of Yinchuan is not in Angola.,1,Yinchuan,Angola,China
The city of Chongming is not in China.,0,Chongming,China,China
The city of Tanggu is not in Canada.,1,Tanggu,Canada,China
The city of Osogbo is not in Nigeria.,0,Osogbo,Nigeria,Nigeria
The city of Longyan is not in India.,1,Longyan,India,China
The city of Al Ain City is not in China.,1,Al Ain City,China,the United Arab Emirates
The city of Lueliang is not in China.,0,Lueliang,China,China
The city of Huainan is not in India.,1,Huainan,India,China
The city of Hezhou is not in Russia.,1,Hezhou,Russia,China
The city of Madinah is not in Saudi Arabia.,0,Madinah,Saudi Arabia,Saudi Arabia
The city of New Kingston is not in Jamaica.,0,New Kingston,Jamaica,Jamaica
The city of Caracas is not in the Philippines.,1,Caracas,the Philippines,Venezuela
The city of Las Pinas is not in the Philippines.,0,Las Pinas,the Philippines,the Philippines
The city of Chongming is not in Jordan.,1,Chongming,Jordan,China
The city of Khartoum North is not in Somalia.,1,Khartoum North,Somalia,Sudan
The city of Cankaya is not in China.,1,Cankaya,China,Turkey
The city of UEruemqi is not in Russia.,1,UEruemqi,Russia,China
The city of Lianyungang is not in Russia.,1,Lianyungang,Russia,China
The city of Kigali is not in Rwanda.,0,Kigali,Rwanda,Rwanda
The city of Tokyo is not in Japan.,0,Tokyo,Japan,Japan
The city of Carrefour is not in Haiti.,0,Carrefour,Haiti,Haiti
The city of Chattogram is not in Syria.,1,Chattogram,Syria,Bangladesh
The city of Diyarbakir is not in Brazil.,1,Diyarbakir,Brazil,Turkey
The city of Shijiazhuang is not in China.,0,Shijiazhuang,China,China
The city of Milwaukee is not in the United States.,0,Milwaukee,the United States,the United States
The city of Ecatepec de Morelos is not in Mexico.,0,Ecatepec de Morelos,Mexico,Mexico
The city of Penza is not in Russia.,0,Penza,Russia,Russia
The city of Bareilly is not in China.,1,Bareilly,China,India
The city of Zaozhuang is not in Honduras.,1,Zaozhuang,Honduras,China
The city of Zhaotong is not in Myanmar.,1,Zhaotong,Myanmar,China
The city of Malacca is not in Jordan.,1,Malacca,Jordan,Malaysia
The city of Bhavnagar is not in India.,0,Bhavnagar,India,India
The city of Esenler is not in Turkey.,0,Esenler,Turkey,Turkey
The city of Liupanshui is not in China.,0,Liupanshui,China,China
The city of Bhayandar is not in China.,1,Bhayandar,China,India
The city of Hezhou is not in China.,0,Hezhou,China,China
The city of Weifang is not in Russia.,1,Weifang,Russia,China
The city of Vijayawada is not in India.,0,Vijayawada,India,India
The city of Ghaziabad is not in the Philippines.,1,Ghaziabad,the Philippines,India
The city of Tucson is not in the United States.,0,Tucson,the United States,the United States
The city of Samarinda is not in India.,1,Samarinda,India,Indonesia
The city of Pimpri-Chinchwad is not in the Philippines.,1,Pimpri-Chinchwad,the Philippines,India
The city of Jiangyin is not in India.,1,Jiangyin,India,China
The city of Camama is not in Angola.,0,Camama,Angola,Angola
The city of Kanpur is not in Nigeria.,1,Kanpur,Nigeria,India
The city of Bursa is not in Turkey.,0,Bursa,Turkey,Turkey
The city of Amravati is not in India.,0,Amravati,India,India
The city of Guankou is not in China.,0,Guankou,China,China
The city of Mersin is not in France.,1,Mersin,France,Turkey
The city of Kyoto is not in Colombia.,1,Kyoto,Colombia,Japan
The city of Rizhao is not in China.,0,Rizhao,China,China
The city of Muscat is not in Morocco.,1,Muscat,Morocco,Oman
The city of Utsunomiya is not in Japan.,0,Utsunomiya,Japan,Japan
The city of Belford Roxo is not in Brazil.,0,Belford Roxo,Brazil,Brazil
The city of Muzaffarabad is not in Nigeria.,1,Muzaffarabad,Nigeria,Pakistan
The city of Al Hudaydah is not in Yemen.,0,Al Hudaydah,Yemen,Yemen
The city of Nanning is not in China.,0,Nanning,China,China
The city of Tashkent is not in Uzbekistan.,0,Tashkent,Uzbekistan,Uzbekistan
The city of Nouakchott is not in Mauritania.,0,Nouakchott,Mauritania,Mauritania
The city of Pelentong is not in China.,1,Pelentong,China,Malaysia
The city of Baghdad is not in India.,1,Baghdad,India,Iraq
The city of Budta is not in the Democratic Republic of the Congo.,1,Budta,the Democratic Republic of the Congo,the Philippines
The city of Rostov-on-Don is not in Russia.,0,Rostov-on-Don,Russia,Russia
The city of Buraydah is not in Saudi Arabia.,0,Buraydah,Saudi Arabia,Saudi Arabia
The city of Mukalla is not in Yemen.,0,Mukalla,Yemen,Yemen
The city of Weihai is not in China.,0,Weihai,China,China
The city of Maiduguri is not in Nigeria.,0,Maiduguri,Nigeria,Nigeria
The city of Nasiriyah is not in Iraq.,0,Nasiriyah,Iraq,Iraq
The city of Zigong is not in Nigeria.,1,Zigong,Nigeria,China
The city of Kolkata is not in India.,0,Kolkata,India,India
The city of Mulenvos is not in Brazil.,1,Mulenvos,Brazil,Angola
The city of Bujumbura is not in Bangladesh.,1,Bujumbura,Bangladesh,Burundi
The city of Kitakyushu is not in China.,1,Kitakyushu,China,Japan
The city of Loni is not in the Philippines.,1,Loni,the Philippines,India
The city of Bannu is not in Pakistan.,0,Bannu,Pakistan,Pakistan
The city of Shubra al Khaymah is not in Egypt.,0,Shubra al Khaymah,Egypt,Egypt
The city of Putuo is not in Burkina Faso.,1,Putuo,Burkina Faso,China
The city of Omsk is not in Russia.,0,Omsk,Russia,Russia
The city of Subang Jaya is not in Brazil.,1,Subang Jaya,Brazil,Malaysia
The city of Sultanah is not in China.,1,Sultanah,China,Saudi Arabia
The city of Teni is not in India.,0,Teni,India,India
The city of Ufa is not in Malaysia.,1,Ufa,Malaysia,Russia
The city of Salta is not in Japan.,1,Salta,Japan,Argentina
The city of Gold Coast is not in China.,1,Gold Coast,China,Australia
The city of Kota Kuala Muda is not in the Philippines.,1,Kota Kuala Muda,the Philippines,Malaysia
The city of Oslo is not in China.,1,Oslo,China,Norway
The city of Thiruvananthapuram is not in India.,0,Thiruvananthapuram,India,India
The city of Kuala Lumpur is not in Germany.,1,Kuala Lumpur,Germany,Malaysia
The city of Samarkand is not in Uzbekistan.,0,Samarkand,Uzbekistan,Uzbekistan
The city of Sharjah is not in the United Arab Emirates.,0,Sharjah,the United Arab Emirates,the United Arab Emirates
The city of Zhaoqing is not in China.,0,Zhaoqing,China,China
The city of Bucharest is not in Romania.,0,Bucharest,Romania,Romania
The city of Arusha is not in Tanzania.,0,Arusha,Tanzania,Tanzania
The city of Leipzig is not in China.,1,Leipzig,China,Germany
The city of Kyiv is not in North Korea.,1,Kyiv,North Korea,Ukraine
The city of Oujda is not in Turkey.,1,Oujda,Turkey,Morocco
The city of Quetta is not in the United States.,1,Quetta,the United States,Pakistan
The city of Kryvyy Rih is not in Ukraine.,0,Kryvyy Rih,Ukraine,Ukraine
The city of Xinyang is not in India.,1,Xinyang,India,China
The city of Kayseri is not in Brazil.,1,Kayseri,Brazil,Turkey
The city of Ankara is not in Turkey.,0,Ankara,Turkey,Turkey
The city of Kashgar is not in China.,0,Kashgar,China,China
The city of Koeln is not in China.,1,Koeln,China,Germany
The city of Santiago de Queretaro is not in Russia.,1,Santiago de Queretaro,Russia,Mexico
The city of Camayenne is not in Nigeria.,1,Camayenne,Nigeria,Guinea
The city of Puxi is not in Iran.,1,Puxi,Iran,China
The city of Nairobi is not in China.,1,Nairobi,China,Kenya
The city of Tijuana is not in China.,1,Tijuana,China,Mexico
The city of Al Basrah al Qadimah is not in Iraq.,0,Al Basrah al Qadimah,Iraq,Iraq
The city of Albuquerque is not in Tanzania.,1,Albuquerque,Tanzania,the United States
The city of Seattle is not in the United States.,0,Seattle,the United States,the United States
The city of Izhevsk is not in Nepal.,1,Izhevsk,Nepal,Russia
The city of Yongzhou is not in China.,0,Yongzhou,China,China
The city of Sargodha is not in China.,1,Sargodha,China,Pakistan
The city of Laiwu is not in China.,0,Laiwu,China,China
The city of Prayagraj is not in India.,0,Prayagraj,India,India
The city of Daqing is not in Kazakhstan.,1,Daqing,Kazakhstan,China
The city of Cabinda is not in Angola.,0,Cabinda,Angola,Angola
The city of Piura is not in Peru.,0,Piura,Peru,Peru
The city of Karachi is not in India.,1,Karachi,India,Pakistan
The city of Ya'an is not in China.,0,Ya'an,China,China
The city of Kikwit is not in the Democratic Republic of the Congo.,0,Kikwit,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Cancun is not in Mexico.,0,Cancun,Mexico,Mexico
The city of Haiphong is not in Morocco.,1,Haiphong,Morocco,Vietnam
The city of Koeln is not in Germany.,0,Koeln,Germany,Germany
The city of Kikolo is not in Morocco.,1,Kikolo,Morocco,Angola
The city of Barnaul is not in Russia.,0,Barnaul,Russia,Russia
The city of Comilla is not in Bangladesh.,0,Comilla,Bangladesh,Bangladesh
The city of Bhiwandi is not in India.,0,Bhiwandi,India,India
The city of Tianjin is not in China.,0,Tianjin,China,China
The city of Dongying is not in China.,0,Dongying,China,China
The city of Soacha is not in Colombia.,0,Soacha,Colombia,Colombia
The city of Kasur is not in Japan.,1,Kasur,Japan,Pakistan
The city of Oslo is not in Norway.,0,Oslo,Norway,Norway
The city of Xinyu is not in Poland.,1,Xinyu,Poland,China
The city of Abuja is not in Nigeria.,0,Abuja,Nigeria,Nigeria
The city of Al Ain City is not in the United Arab Emirates.,0,Al Ain City,the United Arab Emirates,the United Arab Emirates
The city of Pekanbaru is not in Indonesia.,0,Pekanbaru,Indonesia,Indonesia
The city of Omdurman is not in Sudan.,0,Omdurman,Sudan,Sudan
The city of E'zhou is not in China.,0,E'zhou,China,China
The city of Bannu is not in Indonesia.,1,Bannu,Indonesia,Pakistan
The city of Qinzhou is not in South Africa.,1,Qinzhou,South Africa,China
The city of Soweto is not in India.,1,Soweto,India,South Africa
The city of Bucharest is not in China.,1,Bucharest,China,Romania
The city of Hamhung is not in North Korea.,0,Hamhung,North Korea,North Korea
The city of Tegucigalpa is not in China.,1,Tegucigalpa,China,Honduras
The city of Al Fayyum is not in Morocco.,1,Al Fayyum,Morocco,Egypt
The city of Kinshasa is not in the Philippines.,1,Kinshasa,the Philippines,the Democratic Republic of the Congo
The city of Indore is not in South Korea.,1,Indore,South Korea,India
The city of Ningbo is not in China.,0,Ningbo,China,China
The city of Petaling Jaya is not in China.,1,Petaling Jaya,China,Malaysia
The city of Tianshui is not in China.,0,Tianshui,China,China
The city of Qom is not in China.,1,Qom,China,Iran
The city of Almaty is not in Mali.,1,Almaty,Mali,Kazakhstan
The city of Cape Town is not in Azerbaijan.,1,Cape Town,Azerbaijan,South Africa
The city of Assiut is not in Egypt.,0,Assiut,Egypt,Egypt
The city of Zunyi is not in China.,0,Zunyi,China,China
The city of Barranquilla is not in Angola.,1,Barranquilla,Angola,Colombia
The city of Sargodha is not in Pakistan.,0,Sargodha,Pakistan,Pakistan
The city of Nyala is not in South Korea.,1,Nyala,South Korea,Sudan
The city of Pingliang is not in China.,0,Pingliang,China,China
The city of Calabar is not in Brazil.,1,Calabar,Brazil,Nigeria
The city of Yekaterinburg is not in Russia.,0,Yekaterinburg,Russia,Russia
The city of Fortaleza is not in Brazil.,0,Fortaleza,Brazil,Brazil
The city of Gujrat is not in South Korea.,1,Gujrat,South Korea,Pakistan
The city of Zarqa is not in China.,1,Zarqa,China,Jordan
The city of Marseille is not in France.,0,Marseille,France,France
The city of Makassar is not in Malaysia.,1,Makassar,Malaysia,Indonesia
The city of Thuan An is not in Vietnam.,0,Thuan An,Vietnam,Vietnam
The city of Ulanqab is not in Vietnam.,1,Ulanqab,Vietnam,China
The city of Cankaya is not in Turkey.,0,Cankaya,Turkey,Turkey
The city of Acapulco de Juarez is not in Denmark.,1,Acapulco de Juarez,Denmark,Mexico
The city of General Santos is not in the Philippines.,0,General Santos,the Philippines,the Philippines
The city of Narela is not in India.,0,Narela,India,India
The city of Matola is not in Mozambique.,0,Matola,Mozambique,Mozambique
The city of Callao is not in Peru.,0,Callao,Peru,Peru
The city of Baoji is not in China.,0,Baoji,China,China
The city of Helsinki is not in Finland.,0,Helsinki,Finland,Finland
The city of Narela is not in Pakistan.,1,Narela,Pakistan,India
The city of Itabashi is not in Senegal.,1,Itabashi,Senegal,Japan
The city of Baise is not in Bosnia and Herzegovina.,1,Baise,Bosnia and Herzegovina,China
The city of Mengzi is not in China.,0,Mengzi,China,China
The city of Sulaymaniyah is not in Japan.,1,Sulaymaniyah,Japan,Iraq
The city of Karol Bagh is not in India.,0,Karol Bagh,India,India
The city of Xuchang is not in Mexico.,1,Xuchang,Mexico,China
The city of Marrakesh is not in China.,1,Marrakesh,China,Morocco
The city of Huaihua is not in Afghanistan.,1,Huaihua,Afghanistan,China
The city of Lilongwe is not in Malawi.,0,Lilongwe,Malawi,Malawi
The city of Zhangzhou is not in China.,0,Zhangzhou,China,China
The city of Victoria de Durango is not in Mexico.,0,Victoria de Durango,Mexico,Mexico
The city of Pretoria is not in South Africa.,0,Pretoria,South Africa,South Africa
The city of Mumbai is not in the Philippines.,1,Mumbai,the Philippines,India
The city of San Pedro Sula is not in Honduras.,0,San Pedro Sula,Honduras,Honduras
The city of Guarulhos is not in Brazil.,0,Guarulhos,Brazil,Brazil
The city of Lubango is not in Angola.,0,Lubango,Angola,Angola
The city of Piura is not in Chile.,1,Piura,Chile,Peru
The city of Irkutsk is not in Vietnam.,1,Irkutsk,Vietnam,Russia
The city of Sofia is not in Bulgaria.,0,Sofia,Bulgaria,Bulgaria
The city of Rangpur is not in Bangladesh.,0,Rangpur,Bangladesh,Bangladesh
The city of Ananindeua is not in Russia.,1,Ananindeua,Russia,Brazil
The city of Niamey is not in Niger.,0,Niamey,Niger,Niger
The city of Bukavu is not in China.,1,Bukavu,China,the Democratic Republic of the Congo
The city of Kakamega is not in Kenya.,0,Kakamega,Kenya,Kenya
The city of Kanayannur is not in India.,0,Kanayannur,India,India
The city of Weinan is not in Vietnam.,1,Weinan,Vietnam,China
The city of Nova Iguacu is not in Brazil.,0,Nova Iguacu,Brazil,Brazil
The city of Maturin is not in Venezuela.,0,Maturin,Venezuela,Venezuela
The city of Ordos is not in China.,0,Ordos,China,China
The city of Kobe is not in Brazil.,1,Kobe,Brazil,Japan
The city of Ulyanovsk is not in Angola.,1,Ulyanovsk,Angola,Russia
The city of Mosul is not in Iraq.,0,Mosul,Iraq,Iraq
The city of Harbin is not in Ukraine.,1,Harbin,Ukraine,China
The city of UEruemqi is not in China.,0,UEruemqi,China,China
The city of Binh Thanh is not in Oman.,1,Binh Thanh,Oman,Vietnam
The city of Tonghua is not in Nigeria.,1,Tonghua,Nigeria,China
The city of Zhangjiagang is not in Brazil.,1,Zhangjiagang,Brazil,China
The city of Peshawar is not in Lithuania.,1,Peshawar,Lithuania,Pakistan
The city of Balikpapan is not in Indonesia.,0,Balikpapan,Indonesia,Indonesia
The city of Surakarta is not in Indonesia.,0,Surakarta,Indonesia,Indonesia
The city of Kemerovo is not in Indonesia.,1,Kemerovo,Indonesia,Russia
The city of Torreon is not in Mexico.,0,Torreon,Mexico,Mexico
The city of Shymkent is not in Kazakhstan.,0,Shymkent,Kazakhstan,Kazakhstan
The city of Brasilia is not in Brazil.,0,Brasilia,Brazil,Brazil
