statement,label,country,cities,stated_k,actual_k
"Exactly 3 of the following cities are in the Democratic Republic of the Congo: Muzaffarabad, Kolwezi, Moradabad, Maianga, Sao Jose dos Campos.",0,the Democratic Republic of the Congo,"('Kolwezi', 'Maianga', 'Moradabad', 'Muzaffarabad', 'Sao Jose dos Campos')",3,1
"Exactly 5 of the following cities are in Germany: Duesseldorf, Munich, Hannover, Nuremberg, Leipzig.",1,Germany,"('Duesseldorf', 'Hannover', 'Leipzig', 'Munich', 'Nuremberg')",5,5
"Exactly 0 of the following cities are in Syria: Aleppo, Mudanjiang, Jakarta, Ar Raqqah, Homs.",0,Syria,"('Aleppo', 'Ar Raqqah', 'Homs', 'Jakarta', 'Mudanjiang')",0,3
"Exactly 1 of the following cities are in Egypt: Port Said, Pelentong, Tomsk, Karol Bagh, Assiut.",0,Egypt,"('Assiut', 'Karol Bagh', 'Pelentong', 'Port Said', 'Tomsk')",1,2
"Exactly 0 of the following cities are in the United Arab Emirates: Hongkou, Weifang, Al Ain City, Situbondo, Chisinau.",0,the United Arab Emirates,"('Al Ain City', 'Chisinau', 'Hongkou', 'Situbondo', 'Weifang')",0,1
"Exactly 5 of the following cities are in Iran: Zahedan, Tehran, Kermanshah, Tabriz, Isfahan.",1,Iran,"('Isfahan', 'Kermanshah', 'Tabriz', 'Tehran', 'Zahedan')",5,5
"Exactly 0 of the following cities are in the United States: New York City, Seattle, Ra's Bayrut, Albuquerque, New South Memphis.",0,the United States,"('Albuquerque', 'New South Memphis', 'New York City', ""Ra's Bayrut"", 'Seattle')",0,4
"Exactly 2 of the following cities are in Cameroon: Maracaibo, Novosibirsk, Baoji, Rajkot, Yangpu.",0,Cameroon,"('Baoji', 'Maracaibo', 'Novosibirsk', 'Rajkot', 'Yangpu')",2,0
"Exactly 2 of the following cities are in Saudi Arabia: Semarang, Shubra al Khaymah, Ta'if, Jeddah, Tangshan.",1,Saudi Arabia,"('Jeddah', 'Semarang', 'Shubra al Khaymah', ""Ta'if"", 'Tangshan')",2,2
"Exactly 0 of the following cities are in France: Kakamega, Goiania, Lyon, Marseille, Toulouse.",0,France,"('Goiania', 'Kakamega', 'Lyon', 'Marseille', 'Toulouse')",0,3
"Exactly 0 of the following cities are in Moldova: Al Ahmadi, Kobe, Pingdingshan, Suining, Rui'an.",1,Moldova,"('Al Ahmadi', 'Kobe', 'Pingdingshan', ""Rui'an"", 'Suining')",0,0
"Exactly 5 of the following cities are in the Democratic Republic of the Congo: Bukavu, Likasi, Kananga, Kikwit, Kinshasa.",1,the Democratic Republic of the Congo,"('Bukavu', 'Kananga', 'Kikwit', 'Kinshasa', 'Likasi')",5,5
"Exactly 5 of the following cities are in Thailand: Bucheon-si, Tiruppur, Suqian, Dalian, Balbala.",0,Thailand,"('Balbala', 'Bucheon-si', 'Dalian', 'Suqian', 'Tiruppur')",5,0
"Exactly 5 of the following cities are in China: Panjin, Jingmen, Sanya, Qingpu, Cixi.",1,China,"('Cixi', 'Jingmen', 'Panjin', 'Qingpu', 'Sanya')",5,5
"Exactly 1 of the following cities are in Uzbekistan: Samarkand, Tashkent, Hlaingthaya, Dortmund, Copenhagen.",0,Uzbekistan,"('Copenhagen', 'Dortmund', 'Hlaingthaya', 'Samarkand', 'Tashkent')",1,2
"Exactly 2 of the following cities are in Colombia: Petaling Jaya, Cucuta, Soacha, Ipoh, Teresina.",1,Colombia,"('Cucuta', 'Ipoh', 'Petaling Jaya', 'Soacha', 'Teresina')",2,2
"Exactly 1 of the following cities are in Turkey: Gaziantep, Songjiang, Mohammadpur, Camayenne, Krakow.",1,Turkey,"('Camayenne', 'Gaziantep', 'Krakow', 'Mohammadpur', 'Songjiang')",1,1
"Exactly 5 of the following cities are in Russia: Vladivostok, Saratov, Ufa, Volgograd, Tomsk.",1,Russia,"('Saratov', 'Tomsk', 'Ufa', 'Vladivostok', 'Volgograd')",5,5
"Exactly 3 of the following cities are in Mexico: Bauchi, Tirunelveli, Quezon City, Gustavo Adolfo Madero, Heroica Matamoros.",0,Mexico,"('Bauchi', 'Gustavo Adolfo Madero', 'Heroica Matamoros', 'Quezon City', 'Tirunelveli')",3,2
"Exactly 1 of the following cities are in Bangladesh: Vilnius, Zhanjiang, Cebu City, Zunyi, Niteroi.",0,Bangladesh,"('Cebu City', 'Niteroi', 'Vilnius', 'Zhanjiang', 'Zunyi')",1,0
"Exactly 4 of the following cities are in Nigeria: Qinzhou, Mohammadpur, Benin City, Huangshi, Karaj.",0,Nigeria,"('Benin City', 'Huangshi', 'Karaj', 'Mohammadpur', 'Qinzhou')",4,1
"Exactly 4 of the following cities are in Brazil: Recife, Brasilia, Sao Jose dos Campos, Goiania, Ciudad Juarez.",1,Brazil,"('Brasilia', 'Ciudad Juarez', 'Goiania', 'Recife', 'Sao Jose dos Campos')",4,4
"Exactly 3 of the following cities are in the Philippines: General Santos, Budta, Pasig City, Dushanbe, Quetta.",1,the Philippines,"('Budta', 'Dushanbe', 'General Santos', 'Pasig City', 'Quetta')",3,3
"Exactly 2 of the following cities are in Belize: Tlaquepaque, Maturin, Johor Bahru, Calgary, Chuxiong.",0,Belize,"('Calgary', 'Chuxiong', 'Johor Bahru', 'Maturin', 'Tlaquepaque')",2,0
"Exactly 5 of the following cities are in Jamaica: Joao Pessoa, Laiwu, New Kingston, Suizhou, Dortmund.",0,Jamaica,"('Dortmund', 'Joao Pessoa', 'Laiwu', 'New Kingston', 'Suizhou')",5,1
"Exactly 5 of the following cities are in Costa Rica: Erzurum, Brasilia, Basrah, Xinyang, Saint Petersburg.",0,Costa Rica,"('Basrah', 'Brasilia', 'Erzurum', 'Saint Petersburg', 'Xinyang')",5,0
"Exactly 0 of the following cities are in Greece: Thuan An, Xuchang, Beijing, Xining, Niteroi.",1,Greece,"('Beijing', 'Niteroi', 'Thuan An', 'Xining', 'Xuchang')",0,0
"Exactly 1 of the following cities are in Ghana: Amman, Kumasi, Sevastopol, Accra, Cimahi.",0,Ghana,"('Accra', 'Amman', 'Cimahi', 'Kumasi', 'Sevastopol')",1,2
"Exactly 3 of the following cities are in Iraq: Libreville, Homyel', Mosul, Sadr City, Kirkuk.",1,Iraq,"(""Homyel'"", 'Kirkuk', 'Libreville', 'Mosul', 'Sadr City')",3,3
"Exactly 3 of the following cities are in Ukraine: Vijayawada, Chongming, Sevastopol, Thuan An, Baku.",0,Ukraine,"('Baku', 'Chongming', 'Sevastopol', 'Thuan An', 'Vijayawada')",3,1
"Exactly 5 of the following cities are in Pakistan: Bannu, Lahore, Quetta, Sukkur, Chunian.",1,Pakistan,"('Bannu', 'Chunian', 'Lahore', 'Quetta', 'Sukkur')",5,5
"Exactly 1 of the following cities are in Russia: Rostov-on-Don, Torreon, Malatya, Londrina, Asmara.",1,Russia,"('Asmara', 'Londrina', 'Malatya', 'Rostov-on-Don', 'Torreon')",1,1
"Exactly 4 of the following cities are in Oman: Prayagraj, Petaling Jaya, Xiamen, Shangrao, Muscat.",0,Oman,"('Muscat', 'Petaling Jaya', 'Prayagraj', 'Shangrao', 'Xiamen')",4,1
"Exactly 1 of the following cities are in Sudan: Lianyungang, Zhumadian, Saratov, Khartoum, Huangshi.",1,Sudan,"('Huangshi', 'Khartoum', 'Lianyungang', 'Saratov', 'Zhumadian')",1,1
"Exactly 2 of the following cities are in Azerbaijan: Wuwei, Faisalabad, Maianga, Ajmer, Sholapur.",0,Azerbaijan,"('Ajmer', 'Faisalabad', 'Maianga', 'Sholapur', 'Wuwei')",2,0
"Exactly 1 of the following cities are in Myanmar: Bhubaneswar, Mandalay, Shubra al Khaymah, Hlaingthaya, Ankara.",0,Myanmar,"('Ankara', 'Bhubaneswar', 'Hlaingthaya', 'Mandalay', 'Shubra al Khaymah')",1,2
"Exactly 3 of the following cities are in Tanzania: Krasnodar, Dar es Salaam, Arusha, Mbeya, Lianyungang.",1,Tanzania,"('Arusha', 'Dar es Salaam', 'Krasnodar', 'Lianyungang', 'Mbeya')",3,3
"Exactly 3 of the following cities are in Iran: Mar del Plata, Kermanshah, Karaj, Kumamoto, Orumiyeh.",1,Iran,"('Karaj', 'Kermanshah', 'Kumamoto', 'Mar del Plata', 'Orumiyeh')",3,3
"Exactly 0 of the following cities are in Spain: Pelentong, Nanjing, Warri, Yangpu, Setagaya.",1,Spain,"('Nanjing', 'Pelentong', 'Setagaya', 'Warri', 'Yangpu')",0,0
"Exactly 1 of the following cities are in Sweden: Stockholm, Binzhou, Jalandhar, Coyoacan, Bucheon-si.",1,Sweden,"('Binzhou', 'Bucheon-si', 'Coyoacan', 'Jalandhar', 'Stockholm')",1,1
"Exactly 4 of the following cities are in Uzbekistan: Samarkand, Namangan, Tashkent, Al Basrah al Qadimah, Andijon.",1,Uzbekistan,"('Al Basrah al Qadimah', 'Andijon', 'Namangan', 'Samarkand', 'Tashkent')",4,4
"Exactly 2 of the following cities are in Argentina: Esenyurt, Amman, Zhangjiakou, Salta, Mar del Plata.",1,Argentina,"('Amman', 'Esenyurt', 'Mar del Plata', 'Salta', 'Zhangjiakou')",2,2
"Exactly 4 of the following cities are in Guyana: Hamhung, Tabriz, Ahmedabad, Najafgarh, Gustavo Adolfo Madero.",0,Guyana,"('Ahmedabad', 'Gustavo Adolfo Madero', 'Hamhung', 'Najafgarh', 'Tabriz')",4,0
"Exactly 2 of the following cities are in Iran: Orumiyeh, Aden, Kermanshah, Khartoum, Qujing.",1,Iran,"('Aden', 'Kermanshah', 'Khartoum', 'Orumiyeh', 'Qujing')",2,2
"Exactly 5 of the following cities are in Angola: Benguela, Hoji ya Henda, Golfe, Cabinda, Mulenvos.",1,Angola,"('Benguela', 'Cabinda', 'Golfe', 'Hoji ya Henda', 'Mulenvos')",5,5
"Exactly 2 of the following cities are in Indonesia: Jakarta, Kumamoto, Agadir, Goyang-si, Pekanbaru.",1,Indonesia,"('Agadir', 'Goyang-si', 'Jakarta', 'Kumamoto', 'Pekanbaru')",2,2
"Exactly 1 of the following cities are in the United States: The Bronx, Albuquerque, Ludhiana, Milwaukee, Indianapolis.",0,the United States,"('Albuquerque', 'Indianapolis', 'Ludhiana', 'Milwaukee', 'The Bronx')",1,4
"Exactly 2 of the following cities are in the United Arab Emirates: Asansol, Sharjah, Benxi, Abu Dhabi, Penza.",1,the United Arab Emirates,"('Abu Dhabi', 'Asansol', 'Benxi', 'Penza', 'Sharjah')",2,2
"Exactly 3 of the following cities are in Vietnam: Cho Lon, Hue, Vilnius, Amravati, Da Nang.",1,Vietnam,"('Amravati', 'Cho Lon', 'Da Nang', 'Hue', 'Vilnius')",3,3
"Exactly 1 of the following cities are in Mali: Xiaogan, Da Nang, Maoming, Katsina, Cabinda.",0,Mali,"('Cabinda', 'Da Nang', 'Katsina', 'Maoming', 'Xiaogan')",1,0
"Exactly 3 of the following cities are in Bahrain: Yingkou, Yekaterinburg, Al Ain City, Mogadishu, Mulenvos.",0,Bahrain,"('Al Ain City', 'Mogadishu', 'Mulenvos', 'Yekaterinburg', 'Yingkou')",3,0
"Exactly 3 of the following cities are in Poland: Lodz, Krakow, Taicang, Wroclaw, Chizhou.",1,Poland,"('Chizhou', 'Krakow', 'Lodz', 'Taicang', 'Wroclaw')",3,3
"Exactly 5 of the following cities are in Bangladesh: Rajshahi, Gazipur, Mirpur Model Thana, Chattogram, Comilla.",1,Bangladesh,"('Chattogram', 'Comilla', 'Gazipur', 'Mirpur Model Thana', 'Rajshahi')",5,5
"Exactly 5 of the following cities are in Japan: Aihara, Tokyo, Itabashi, Saitama, Sagamihara.",1,Japan,"('Aihara', 'Itabashi', 'Sagamihara', 'Saitama', 'Tokyo')",5,5
"Exactly 3 of the following cities are in Suriname: Aracaju, Nellore, Rasapudipalem, Ibadan, Odesa.",0,Suriname,"('Aracaju', 'Ibadan', 'Nellore', 'Odesa', 'Rasapudipalem')",3,0
"Exactly 3 of the following cities are in Iran: Ahvaz, Isfahan, Hamadan, Arak, Wuwei.",0,Iran,"('Ahvaz', 'Arak', 'Hamadan', 'Isfahan', 'Wuwei')",3,4
"Exactly 4 of the following cities are in the Maldives: Taiz, Lusaka, Managua, Xiangtan, Chiclayo.",0,the Maldives,"('Chiclayo', 'Lusaka', 'Managua', 'Taiz', 'Xiangtan')",4,0
"Exactly 1 of the following cities are in the Republic of the Congo: Rasapudipalem, Jeonju, Vinh, Daqing, Kalyan.",0,the Republic of the Congo,"('Daqing', 'Jeonju', 'Kalyan', 'Rasapudipalem', 'Vinh')",1,0
"Exactly 1 of the following cities are in Jordan: Irbid, Zarqa, Amman, Kampung Baru Subang, Lome.",0,Jordan,"('Amman', 'Irbid', 'Kampung Baru Subang', 'Lome', 'Zarqa')",1,3
"Exactly 1 of the following cities are in Swaziland: Anyang-si, Bekasi, Chennai, Kota Kuala Muda, Pasir Gudang.",0,Swaziland,"('Anyang-si', 'Bekasi', 'Chennai', 'Kota Kuala Muda', 'Pasir Gudang')",1,0
"Exactly 0 of the following cities are in Thailand: Carrefour, Sarajevo, Bengaluru, Handan, Anshun.",1,Thailand,"('Anshun', 'Bengaluru', 'Carrefour', 'Handan', 'Sarajevo')",0,0
"Exactly 1 of the following cities are in Kenya: Pietermaritzburg, Ulanqab, Indianapolis, Tirunelveli, Nairobi.",1,Kenya,"('Indianapolis', 'Nairobi', 'Pietermaritzburg', 'Tirunelveli', 'Ulanqab')",1,1
"Exactly 0 of the following cities are in Barbados: E'zhou, Shanghai, Rajkot, Astana, Yichang.",1,Barbados,"('Astana', ""E'zhou"", 'Rajkot', 'Shanghai', 'Yichang')",0,0
"Exactly 5 of the following cities are in Lithuania: Kathmandu, Vilnius, Quebec, Jaboatao dos Guararapes, Cape Town.",0,Lithuania,"('Cape Town', 'Jaboatao dos Guararapes', 'Kathmandu', 'Quebec', 'Vilnius')",5,1
"Exactly 1 of the following cities are in Romania: Niamey, Bloemfontein, Bucharest, Wuwei, Rangpur.",1,Romania,"('Bloemfontein', 'Bucharest', 'Niamey', 'Rangpur', 'Wuwei')",1,1
"Exactly 5 of the following cities are in the Democratic Republic of the Congo: Kisangani, Kinshasa, Kananga, Kikwit, Bukavu.",1,the Democratic Republic of the Congo,"('Bukavu', 'Kananga', 'Kikwit', 'Kinshasa', 'Kisangani')",5,5
"Exactly 3 of the following cities are in the United States: Huainan, Shubra al Khaymah, Fort Worth, Albuquerque, Queens.",1,the United States,"('Albuquerque', 'Fort Worth', 'Huainan', 'Queens', 'Shubra al Khaymah')",3,3
"Exactly 5 of the following cities are in Saudi Arabia: Buraydah, Madinah, Makkah, Ha'il, Najran.",1,Saudi Arabia,"('Buraydah', ""Ha'il"", 'Madinah', 'Makkah', 'Najran')",5,5
"Exactly 3 of the following cities are in Pakistan: Bannu, Shekhupura, Pingliang, Bikaner, Multan.",1,Pakistan,"('Bannu', 'Bikaner', 'Multan', 'Pingliang', 'Shekhupura')",3,3
"Exactly 1 of the following cities are in Finland: Bahawalpur, Mexico City, Helsinki, Ansan-si, Sialkot.",1,Finland,"('Ansan-si', 'Bahawalpur', 'Helsinki', 'Mexico City', 'Sialkot')",1,1
"Exactly 2 of the following cities are in Angola: Golfe, Madurai, Kikolo, Lubango, Ouagadougou.",0,Angola,"('Golfe', 'Kikolo', 'Lubango', 'Madurai', 'Ouagadougou')",2,3
"Exactly 1 of the following cities are in Canada: Vinh, Zhangzhou, Bogor, Mississauga, Perm.",1,Canada,"('Bogor', 'Mississauga', 'Perm', 'Vinh', 'Zhangzhou')",1,1
"Exactly 2 of the following cities are in Sweden: Hlaingthaya, Kolhapur, Adachi, Abu Ghurayb, Tucson.",0,Sweden,"('Abu Ghurayb', 'Adachi', 'Hlaingthaya', 'Kolhapur', 'Tucson')",2,0
"Exactly 0 of the following cities are in the Democratic Republic of the Congo: Kolwezi, Kinshasa, Lubumbashi, Mbuji-Mayi, Bukavu.",0,the Democratic Republic of the Congo,"('Bukavu', 'Kinshasa', 'Kolwezi', 'Lubumbashi', 'Mbuji-Mayi')",0,5
"Exactly 0 of the following cities are in Cambodia: Tegucigalpa, Sanya, Rio de Janeiro, Jakarta, Ciudad Nezahualcoyotl.",1,Cambodia,"('Ciudad Nezahualcoyotl', 'Jakarta', 'Rio de Janeiro', 'Sanya', 'Tegucigalpa')",0,0
"Exactly 2 of the following cities are in France: Nowrangapur, Mosul, Changwon, Istanbul, Matsuyama.",0,France,"('Changwon', 'Istanbul', 'Matsuyama', 'Mosul', 'Nowrangapur')",2,0
"Exactly 4 of the following cities are in Iran: Tanggu, Kermanshah, Orumiyeh, Karaj, Hamadan.",1,Iran,"('Hamadan', 'Karaj', 'Kermanshah', 'Orumiyeh', 'Tanggu')",4,4
"Exactly 5 of the following cities are in Latvia: Chizhou, Ajegunle, Niteroi, Reynosa, Santiago de Queretaro.",0,Latvia,"('Ajegunle', 'Chizhou', 'Niteroi', 'Reynosa', 'Santiago de Queretaro')",5,0
"Exactly 2 of the following cities are in Yemen: Aguascalientes, Agadir, Ibb, Giza, Aden.",1,Yemen,"('Aden', 'Agadir', 'Aguascalientes', 'Giza', 'Ibb')",2,2
"Exactly 1 of the following cities are in Malawi: Niamey, Lilongwe, Kalaburagi, Yaounde, Antalya.",1,Malawi,"('Antalya', 'Kalaburagi', 'Lilongwe', 'Niamey', 'Yaounde')",1,1
"Exactly 2 of the following cities are in Malaysia: Amman, Guli, Tirunelveli, Kota Bharu, Sungai Petani.",1,Malaysia,"('Amman', 'Guli', 'Kota Bharu', 'Sungai Petani', 'Tirunelveli')",2,2
"Exactly 1 of the following cities are in Belgium: Qom, Krasnoyarsk, Zhabei, Lubumbashi, Omsk.",0,Belgium,"('Krasnoyarsk', 'Lubumbashi', 'Omsk', 'Qom', 'Zhabei')",1,0
"Exactly 3 of the following cities are in South Korea: Prayagraj, Bucheon-si, Jeonju, Gustavo Adolfo Madero, Goyang-si.",1,South Korea,"('Bucheon-si', 'Goyang-si', 'Gustavo Adolfo Madero', 'Jeonju', 'Prayagraj')",3,3
"Exactly 3 of the following cities are in Croatia: Chattogram, Dera Ismail Khan, Mohammadpur, Baghdad, Yibin.",0,Croatia,"('Baghdad', 'Chattogram', 'Dera Ismail Khan', 'Mohammadpur', 'Yibin')",3,0
"Exactly 4 of the following cities are in Iraq: Kirkuk, Tijuana, Kolhapur, Abu Ghurayb, Tlalpan.",0,Iraq,"('Abu Ghurayb', 'Kirkuk', 'Kolhapur', 'Tijuana', 'Tlalpan')",4,2
"Exactly 3 of the following cities are in the Dominican Republic: Santo Domingo Oeste, Santo Domingo Este, Bijie, Santiago de los Caballeros, Yibin.",1,the Dominican Republic,"('Bijie', 'Santiago de los Caballeros', 'Santo Domingo Este', 'Santo Domingo Oeste', 'Yibin')",3,3
"Exactly 2 of the following cities are in the Philippines: Baotou, Huzhou, Cagayan de Oro, Soweto, Manaus.",0,the Philippines,"('Baotou', 'Cagayan de Oro', 'Huzhou', 'Manaus', 'Soweto')",2,1
"Exactly 3 of the following cities are in the United Arab Emirates: Al Ain City, Puducherry, Nakuru, Abu Dhabi, Sharjah.",1,the United Arab Emirates,"('Abu Dhabi', 'Al Ain City', 'Nakuru', 'Puducherry', 'Sharjah')",3,3
"Exactly 0 of the following cities are in Kenya: Warangal, Auckland, Tiruppur, Al Mahallah al Kubra, Mombasa.",0,Kenya,"('Al Mahallah al Kubra', 'Auckland', 'Mombasa', 'Tiruppur', 'Warangal')",0,1
"Exactly 5 of the following cities are in the United States: The Bronx, Albuquerque, Oklahoma City, Indianapolis, Queens.",1,the United States,"('Albuquerque', 'Indianapolis', 'Oklahoma City', 'Queens', 'The Bronx')",5,5
"Exactly 1 of the following cities are in Cameroon: Shekhupura, Algiers, Daegu, Douala, Jieyang.",1,Cameroon,"('Algiers', 'Daegu', 'Douala', 'Jieyang', 'Shekhupura')",1,1
"Exactly 3 of the following cities are in Morocco: Bhopal, Agadir, Marrakesh, Tangier, Oujda.",0,Morocco,"('Agadir', 'Bhopal', 'Marrakesh', 'Oujda', 'Tangier')",3,4
"Exactly 3 of the following cities are in Argentina: Pretoria, Guang'an, Mar del Plata, San Miguel de Tucuman, Salta.",1,Argentina,"(""Guang'an"", 'Mar del Plata', 'Pretoria', 'Salta', 'San Miguel de Tucuman')",3,3
"Exactly 3 of the following cities are in Nigeria: Nanchong, Aparecida de Goiania, Onitsha, Ebute Ikorodu, Ananindeua.",0,Nigeria,"('Ananindeua', 'Aparecida de Goiania', 'Ebute Ikorodu', 'Nanchong', 'Onitsha')",3,2
"Exactly 4 of the following cities are in Tanzania: Dar es Salaam, Arusha, Gaziantep, Mbeya, Dodoma.",1,Tanzania,"('Arusha', 'Dar es Salaam', 'Dodoma', 'Gaziantep', 'Mbeya')",4,4
"Exactly 2 of the following cities are in Colombia: Barranquilla, Owerri, Soacha, Xianning, Songjiang.",1,Colombia,"('Barranquilla', 'Owerri', 'Soacha', 'Songjiang', 'Xianning')",2,2
"Exactly 4 of the following cities are in Poland: Zhabei, Chenzhou, Abobo, Helsinki, Krakow.",0,Poland,"('Abobo', 'Chenzhou', 'Helsinki', 'Krakow', 'Zhabei')",4,1
"Exactly 1 of the following cities are in Jamaica: Kananga, New Kingston, Laibin, Sukkur, Pontianak.",1,Jamaica,"('Kananga', 'Laibin', 'New Kingston', 'Pontianak', 'Sukkur')",1,1
"Exactly 5 of the following cities are in Samoa: Chicago, Bamako, Malatya, The Bronx, Hue.",0,Samoa,"('Bamako', 'Chicago', 'Hue', 'Malatya', 'The Bronx')",5,0
"Exactly 1 of the following cities are in New Zealand: Xinyang, Nanchong, Namangan, Auckland, Kakamega.",1,New Zealand,"('Auckland', 'Kakamega', 'Namangan', 'Nanchong', 'Xinyang')",1,1
"Exactly 0 of the following cities are in Togo: Marrakesh, Zhu Cheng City, Nowrangapur, Hue, Al Ahmadi.",1,Togo,"('Al Ahmadi', 'Hue', 'Marrakesh', 'Nowrangapur', 'Zhu Cheng City')",0,0
"Exactly 0 of the following cities are in the Philippines: Owerri, Rajkot, Durban, Ho Chi Minh City, Maputo.",1,the Philippines,"('Durban', 'Ho Chi Minh City', 'Maputo', 'Owerri', 'Rajkot')",0,0
"Exactly 1 of the following cities are in Australia: Tianjin, Gold Coast, Ibb, Bilimora, Qionghai.",1,Australia,"('Bilimora', 'Gold Coast', 'Ibb', 'Qionghai', 'Tianjin')",1,1
"Exactly 3 of the following cities are in Angola: Kimhae, Andijon, Benguela, Hoji ya Henda, Calumbo.",1,Angola,"('Andijon', 'Benguela', 'Calumbo', 'Hoji ya Henda', 'Kimhae')",3,3
"Exactly 4 of the following cities are in the United Arab Emirates: Da Nang, Bareilly, Al Ain City, Manaus, Lusaka.",0,the United Arab Emirates,"('Al Ain City', 'Bareilly', 'Da Nang', 'Lusaka', 'Manaus')",4,1
"Exactly 0 of the following cities are in Mozambique: Mogadishu, Pretoria, Taicang, Johor Bahru, Fortaleza.",1,Mozambique,"('Fortaleza', 'Johor Bahru', 'Mogadishu', 'Pretoria', 'Taicang')",0,0
"Exactly 2 of the following cities are in Poland: Peshawar, Krakow, Lodz, Izhevsk, Enugu.",1,Poland,"('Enugu', 'Izhevsk', 'Krakow', 'Lodz', 'Peshawar')",2,2
"Exactly 4 of the following cities are in China: Rizhao, Guigang, Yangquan, Davao, Zhenjiang.",1,China,"('Davao', 'Guigang', 'Rizhao', 'Yangquan', 'Zhenjiang')",4,4
"Exactly 5 of the following cities are in Angola: Benguela, Golfe, Maianga, Lubango, Cabinda.",1,Angola,"('Benguela', 'Cabinda', 'Golfe', 'Lubango', 'Maianga')",5,5
"Exactly 4 of the following cities are in Turkmenistan: Rahim Yar Khan, Kimhae, Qui Nhon, Cixi, Ouagadougou.",0,Turkmenistan,"('Cixi', 'Kimhae', 'Ouagadougou', 'Qui Nhon', 'Rahim Yar Khan')",4,0
"Exactly 1 of the following cities are in Azerbaijan: Ulyanovsk, Pingliang, Baku, Auckland, Weihai.",1,Azerbaijan,"('Auckland', 'Baku', 'Pingliang', 'Ulyanovsk', 'Weihai')",1,1
"Exactly 3 of the following cities are in Japan: Okayama, Kyoto, Nagoya, Tokyo, Kagoshima.",0,Japan,"('Kagoshima', 'Kyoto', 'Nagoya', 'Okayama', 'Tokyo')",3,5
"Exactly 4 of the following cities are in Ukraine: Sevastopol, Lviv, Dnipro, Kharkiv, Odesa.",0,Ukraine,"('Dnipro', 'Kharkiv', 'Lviv', 'Odesa', 'Sevastopol')",4,5
"Exactly 5 of the following cities are in Indonesia: Bogor, South Tangerang, Bandar Lampung, Surakarta, Pontianak.",1,Indonesia,"('Bandar Lampung', 'Bogor', 'Pontianak', 'South Tangerang', 'Surakarta')",5,5
"Exactly 3 of the following cities are in Ireland: Caloocan, Thuan An, Soshanguve, Santo Domingo Oeste, Xinyu.",0,Ireland,"('Caloocan', 'Santo Domingo Oeste', 'Soshanguve', 'Thuan An', 'Xinyu')",3,0
