statement,label,country,cities,stated_k,actual_k
"Exactly 0 of the following cities are in the United States: Kolhapur, Florianopolis.",1,the United States,"('Florianopolis', 'Kolhapur')",0,0
"Exactly 1 of the following cities are in Benin: Shangluo, Cotonou.",1,Benin,"('Cotonou', 'Shangluo')",1,1
"Exactly 0 of the following cities are in Pakistan: Gujranwala, Karol Bagh.",0,Pakistan,"('Gujranwala', 'Karol Bagh')",0,1
"Exactly 1 of the following cities are in Romania: Bucharest, Londrina.",1,Romania,"('Bucharest', 'Londrina')",1,1
"Exactly 1 of the following cities are in Malaysia: Ya'an, Astana.",0,Malaysia,"('Astana', ""Ya'an"")",1,0
"Exactly 2 of the following cities are in Senegal: Bogor, Vladivostok.",0,Senegal,"('Bogor', 'Vladivostok')",2,0
"Exactly 1 of the following cities are in Germany: Leipzig, Binzhou.",1,Germany,"('Binzhou', 'Leipzig')",1,1
"Exactly 1 of the following cities are in India: Jamnagar, Jammu.",0,India,"('Jammu', 'Jamnagar')",1,2
"Exactly 1 of the following cities are in Nepal: Krasnodar, Pokhara.",1,Nepal,"('Krasnodar', 'Pokhara')",1,1
"Exactly 0 of the following cities are in Uzbekistan: Izmir, Tashkent.",0,Uzbekistan,"('Izmir', 'Tashkent')",0,1
"Exactly 2 of the following cities are in Tanzania: Mbeya, Dodoma.",1,Tanzania,"('Dodoma', 'Mbeya')",2,2
"Exactly 0 of the following cities are in Iraq: Hengyang, Borama.",1,Iraq,"('Borama', 'Hengyang')",0,0
"Exactly 1 of the following cities are in Peru: Penza, Mar del Plata.",0,Peru,"('Mar del Plata', 'Penza')",1,0
"Exactly 1 of the following cities are in the United Arab Emirates: Al Ain City, Cangzhou.",1,the United Arab Emirates,"('Al Ain City', 'Cangzhou')",1,1
"Exactly 1 of the following cities are in Côte d'Ivoire: Zaria, Nyala.",0,Côte d'Ivoire,"('Nyala', 'Zaria')",1,0
"Exactly 2 of the following cities are in Mexico: Cancun, Torreon.",1,Mexico,"('Cancun', 'Torreon')",2,2
"Exactly 1 of the following cities are in Senegal: Yangon, Pikine.",1,Senegal,"('Pikine', 'Yangon')",1,1
"Exactly 2 of the following cities are in Guatemala: Jiujiang, Zagreb.",0,Guatemala,"('Jiujiang', 'Zagreb')",2,0
"Exactly 0 of the following cities are in Mauritania: Ibb, Dortmund.",1,Mauritania,"('Dortmund', 'Ibb')",0,0
"Exactly 2 of the following cities are in Brazil: Rio de Janeiro, Sarajevo.",0,Brazil,"('Rio de Janeiro', 'Sarajevo')",2,1
"Exactly 0 of the following cities are in Denmark: Nha Trang, Tiruppur.",1,Denmark,"('Nha Trang', 'Tiruppur')",0,0
"Exactly 0 of the following cities are in Thailand: Shangrao, Aparecida de Goiania.",1,Thailand,"('Aparecida de Goiania', 'Shangrao')",0,0
"Exactly 0 of the following cities are in Chad: Ebute Ikorodu, Kathmandu.",1,Chad,"('Ebute Ikorodu', 'Kathmandu')",0,0
"Exactly 0 of the following cities are in Côte d'Ivoire: Benguela, Xianning.",1,Côte d'Ivoire,"('Benguela', 'Xianning')",0,0
"Exactly 1 of the following cities are in Russia: Dalian, Irkutsk.",1,Russia,"('Dalian', 'Irkutsk')",1,1
"Exactly 2 of the following cities are in Kiribati: Niigata, Sokoto.",0,Kiribati,"('Niigata', 'Sokoto')",2,0
"Exactly 0 of the following cities are in Sierra Leone: Cuautitlan Izcalli, Guli.",1,Sierra Leone,"('Cuautitlan Izcalli', 'Guli')",0,0
"Exactly 1 of the following cities are in Yemen: Tijuana, Sanaa.",1,Yemen,"('Sanaa', 'Tijuana')",1,1
"Exactly 2 of the following cities are in China: Beijing, Laibin.",1,China,"('Beijing', 'Laibin')",2,2
"Exactly 2 of the following cities are in Iraq: Baghdad, Kirkuk.",1,Iraq,"('Baghdad', 'Kirkuk')",2,2
"Exactly 2 of the following cities are in Greece: Hue, Zapopan.",0,Greece,"('Hue', 'Zapopan')",2,0
"Exactly 0 of the following cities are in Dominica: Maianga, Cucuta.",1,Dominica,"('Cucuta', 'Maianga')",0,0
"Exactly 1 of the following cities are in Spain: Sholapur, Guang'an.",0,Spain,"(""Guang'an"", 'Sholapur')",1,0
"Exactly 2 of the following cities are in Colombia: Yichang, Benxi.",0,Colombia,"('Benxi', 'Yichang')",2,0
"Exactly 2 of the following cities are in Mexico: Tlalpan, Cancun.",1,Mexico,"('Cancun', 'Tlalpan')",2,2
"Exactly 1 of the following cities are in Portugal: Cagayan de Oro, Belford Roxo.",0,Portugal,"('Belford Roxo', 'Cagayan de Oro')",1,0
"Exactly 0 of the following cities are in Angola: Lubango, Cabinda.",0,Angola,"('Cabinda', 'Lubango')",0,2
"Exactly 0 of the following cities are in Afghanistan: Qingdao, Mazar-e Sharif.",0,Afghanistan,"('Mazar-e Sharif', 'Qingdao')",0,1
"Exactly 2 of the following cities are in Poland: Krakow, Chongming.",0,Poland,"('Chongming', 'Krakow')",2,1
"Exactly 1 of the following cities are in Croatia: Zagreb, Xiangtan.",1,Croatia,"('Xiangtan', 'Zagreb')",1,1
"Exactly 0 of the following cities are in Syria: Aleppo, Ar Raqqah.",0,Syria,"('Aleppo', 'Ar Raqqah')",0,2
"Exactly 1 of the following cities are in the United Kingdom: Zarqa, Langfang.",0,the United Kingdom,"('Langfang', 'Zarqa')",1,0
"Exactly 0 of the following cities are in Iran: Ya'an, Kermanshah.",0,Iran,"('Kermanshah', ""Ya'an"")",0,1
"Exactly 2 of the following cities are in Iraq: Karbala, Sulaymaniyah.",1,Iraq,"('Karbala', 'Sulaymaniyah')",2,2
"Exactly 2 of the following cities are in Malaysia: Kimhae, Aguascalientes.",0,Malaysia,"('Aguascalientes', 'Kimhae')",2,0
"Exactly 0 of the following cities are in Jordan: Amman, Pallabi.",0,Jordan,"('Amman', 'Pallabi')",0,1
"Exactly 0 of the following cities are in Morocco: Agadir, Tangier.",0,Morocco,"('Agadir', 'Tangier')",0,2
"Exactly 0 of the following cities are in Egypt: Al Mahallah al Kubra, Batam.",0,Egypt,"('Al Mahallah al Kubra', 'Batam')",0,1
"Exactly 2 of the following cities are in Nigeria: Ile-Ife, Zaria.",1,Nigeria,"('Ile-Ife', 'Zaria')",2,2
"Exactly 2 of the following cities are in Belize: Santo Domingo Oeste, Bulawayo.",0,Belize,"('Bulawayo', 'Santo Domingo Oeste')",2,0
"Exactly 2 of the following cities are in Sierra Leone: South Tangerang, Tangerang.",0,Sierra Leone,"('South Tangerang', 'Tangerang')",2,0
"Exactly 2 of the following cities are in Morocco: Meknes, Oujda.",1,Morocco,"('Meknes', 'Oujda')",2,2
"Exactly 1 of the following cities are in Saudi Arabia: Recife, Kaifeng.",0,Saudi Arabia,"('Kaifeng', 'Recife')",1,0
"Exactly 1 of the following cities are in Nepal: Kryvyy Rih, Kathmandu.",1,Nepal,"('Kathmandu', 'Kryvyy Rih')",1,1
"Exactly 1 of the following cities are in Iraq: Sadr City, Erbil.",0,Iraq,"('Erbil', 'Sadr City')",1,2
"Exactly 0 of the following cities are in the Democratic Republic of the Congo: Kolwezi, Longyan.",0,the Democratic Republic of the Congo,"('Kolwezi', 'Longyan')",0,1
"Exactly 1 of the following cities are in Russia: Mumbai, Tomsk.",1,Russia,"('Mumbai', 'Tomsk')",1,1
"Exactly 1 of the following cities are in Finland: Helsinki, Borama.",1,Finland,"('Borama', 'Helsinki')",1,1
"Exactly 1 of the following cities are in Latvia: Riga, Sao Jose dos Campos.",1,Latvia,"('Riga', 'Sao Jose dos Campos')",1,1
"Exactly 2 of the following cities are in China: Baise, Chuxiong.",1,China,"('Baise', 'Chuxiong')",2,2
"Exactly 2 of the following cities are in Colombia: Nanchong, Manaus.",0,Colombia,"('Manaus', 'Nanchong')",2,0
"Exactly 0 of the following cities are in Germany: Munich, Duesseldorf.",0,Germany,"('Duesseldorf', 'Munich')",0,2
"Exactly 1 of the following cities are in Luxembourg: Huangshi, Orenburg.",0,Luxembourg,"('Huangshi', 'Orenburg')",1,0
"Exactly 0 of the following cities are in Mongolia: Shangqiu, Rajkot.",1,Mongolia,"('Rajkot', 'Shangqiu')",0,0
"Exactly 0 of the following cities are in Thailand: Ajegunle, Zhangjiakou.",1,Thailand,"('Ajegunle', 'Zhangjiakou')",0,0
"Exactly 2 of the following cities are in Yemen: Aden, Al Hudaydah.",1,Yemen,"('Aden', 'Al Hudaydah')",2,2
"Exactly 2 of the following cities are in Mexico: Mexico City, Coyoacan.",1,Mexico,"('Coyoacan', 'Mexico City')",2,2
"Exactly 1 of the following cities are in Ukraine: Yongzhou, Luohu District.",0,Ukraine,"('Luohu District', 'Yongzhou')",1,0
"Exactly 0 of the following cities are in Indonesia: Semarang, Situbondo.",0,Indonesia,"('Semarang', 'Situbondo')",0,2
"Exactly 0 of the following cities are in Poland: Krakow, Suizhou.",0,Poland,"('Krakow', 'Suizhou')",0,1
"Exactly 1 of the following cities are in China: Chongqing, Karol Bagh.",1,China,"('Chongqing', 'Karol Bagh')",1,1
"Exactly 0 of the following cities are in Ethiopia: Mbeya, Addis Ababa.",0,Ethiopia,"('Addis Ababa', 'Mbeya')",0,1
"Exactly 2 of the following cities are in Rwanda: Port Harcourt, UEskuedar.",0,Rwanda,"('Port Harcourt', 'UEskuedar')",2,0
"Exactly 1 of the following cities are in Jordan: Rajkot, Amman.",1,Jordan,"('Amman', 'Rajkot')",1,1
"Exactly 0 of the following cities are in Tuvalu: Chennai, Zaozhuang.",1,Tuvalu,"('Chennai', 'Zaozhuang')",0,0
"Exactly 1 of the following cities are in Tanzania: Dar es Salaam, Zanzibar.",0,Tanzania,"('Dar es Salaam', 'Zanzibar')",1,2
"Exactly 0 of the following cities are in Kiribati: Bamako, Weinan.",1,Kiribati,"('Bamako', 'Weinan')",0,0
"Exactly 1 of the following cities are in Brazil: Contagem, Nova Iguacu.",0,Brazil,"('Contagem', 'Nova Iguacu')",1,2
"Exactly 1 of the following cities are in Tajikistan: Dushanbe, New Kingston.",1,Tajikistan,"('Dushanbe', 'New Kingston')",1,1
"Exactly 0 of the following cities are in Finland: Nanded, Dharavi.",1,Finland,"('Dharavi', 'Nanded')",0,0
"Exactly 0 of the following cities are in the United Arab Emirates: Zhumadian, Abu Dhabi.",0,the United Arab Emirates,"('Abu Dhabi', 'Zhumadian')",0,1
"Exactly 1 of the following cities are in Oman: Kota Kuala Muda, Muscat.",1,Oman,"('Kota Kuala Muda', 'Muscat')",1,1
"Exactly 1 of the following cities are in Poland: Zarqa, Krakow.",1,Poland,"('Krakow', 'Zarqa')",1,1
"Exactly 1 of the following cities are in Iraq: Sadr City, Izhevsk.",1,Iraq,"('Izhevsk', 'Sadr City')",1,1
"Exactly 1 of the following cities are in South Africa: Haiphong, Denpasar.",0,South Africa,"('Denpasar', 'Haiphong')",1,0
"Exactly 2 of the following cities are in Myanmar: Mandalay, Yangon.",1,Myanmar,"('Mandalay', 'Yangon')",2,2
"Exactly 1 of the following cities are in China: Feira de Santana, Zhangjiakou.",1,China,"('Feira de Santana', 'Zhangjiakou')",1,1
"Exactly 0 of the following cities are in Guinea: Conakry, Xingtai.",0,Guinea,"('Conakry', 'Xingtai')",0,1
"Exactly 1 of the following cities are in Saudi Arabia: Duque de Caxias, Ha'il.",1,Saudi Arabia,"('Duque de Caxias', ""Ha'il"")",1,1
"Exactly 0 of the following cities are in Estonia: Chiclayo, Islamabad.",1,Estonia,"('Chiclayo', 'Islamabad')",0,0
"Exactly 0 of the following cities are in Nigeria: Enugu, Port Harcourt.",0,Nigeria,"('Enugu', 'Port Harcourt')",0,2
"Exactly 0 of the following cities are in Singapore: Bucaramanga, Jinan.",1,Singapore,"('Bucaramanga', 'Jinan')",0,0
"Exactly 1 of the following cities are in Djibouti: Bogor, Laibin.",0,Djibouti,"('Bogor', 'Laibin')",1,0
"Exactly 2 of the following cities are in Indonesia: Samarinda, Jambi City.",1,Indonesia,"('Jambi City', 'Samarinda')",2,2
"Exactly 1 of the following cities are in Norway: Oslo, Haiphong.",1,Norway,"('Haiphong', 'Oslo')",1,1
"Exactly 1 of the following cities are in Turkey: Gqeberha, Kota Bharu.",0,Turkey,"('Gqeberha', 'Kota Bharu')",1,0
"Exactly 0 of the following cities are in Tunisia: Lyon, Porto Velho.",1,Tunisia,"('Lyon', 'Porto Velho')",0,0
"Exactly 1 of the following cities are in Venezuela: Bouake, Chizhou.",0,Venezuela,"('Bouake', 'Chizhou')",1,0
"Exactly 2 of the following cities are in Indonesia: Bandar Lampung, Jakarta.",1,Indonesia,"('Bandar Lampung', 'Jakarta')",2,2
"Exactly 0 of the following cities are in Tuvalu: Libreville, The Bronx.",1,Tuvalu,"('Libreville', 'The Bronx')",0,0
"Exactly 0 of the following cities are in Turkey: Kuecuekcekmece, Fes.",0,Turkey,"('Fes', 'Kuecuekcekmece')",0,1
"Exactly 1 of the following cities are in Kazakhstan: Almaty, Shymkent.",0,Kazakhstan,"('Almaty', 'Shymkent')",1,2
"Exactly 0 of the following cities are in Qatar: Heze, Hamadan.",1,Qatar,"('Hamadan', 'Heze')",0,0
"Exactly 0 of the following cities are in Argentina: Gustavo Adolfo Madero, Dharavi.",1,Argentina,"('Dharavi', 'Gustavo Adolfo Madero')",0,0
"Exactly 2 of the following cities are in South Korea: Seongnam-si, Busan.",1,South Korea,"('Busan', 'Seongnam-si')",2,2
"Exactly 0 of the following cities are in Angola: Mulenvos, Maianga.",0,Angola,"('Maianga', 'Mulenvos')",0,2
"Exactly 0 of the following cities are in Vietnam: Binh Thanh, Nagoya.",0,Vietnam,"('Binh Thanh', 'Nagoya')",0,1
"Exactly 1 of the following cities are in Guinea-Bissau: Vijayawada, Calabar.",0,Guinea-Bissau,"('Calabar', 'Vijayawada')",1,0
"Exactly 1 of the following cities are in Armenia: Yerevan, Kitwe.",1,Armenia,"('Kitwe', 'Yerevan')",1,1
"Exactly 2 of the following cities are in Moldova: Chisinau, Zhoushan.",0,Moldova,"('Chisinau', 'Zhoushan')",2,1
"Exactly 0 of the following cities are in Estonia: Caloocan, Duesseldorf.",1,Estonia,"('Caloocan', 'Duesseldorf')",0,0
"Exactly 0 of the following cities are in New Zealand: Denpasar, Dnipro.",1,New Zealand,"('Denpasar', 'Dnipro')",0,0
"Exactly 2 of the following cities are in the Philippines: Zamboanga, Muntinlupa.",1,the Philippines,"('Muntinlupa', 'Zamboanga')",2,2
"Exactly 0 of the following cities are in Venezuela: Indore, Anqing.",1,Venezuela,"('Anqing', 'Indore')",0,0
"Exactly 0 of the following cities are in Switzerland: Ecatepec de Morelos, Bien Hoa.",1,Switzerland,"('Bien Hoa', 'Ecatepec de Morelos')",0,0
"Exactly 2 of the following cities are in Kazakhstan: Shymkent, Astana.",1,Kazakhstan,"('Astana', 'Shymkent')",2,2
"Exactly 2 of the following cities are in Brazil: Porto Velho, Macapa.",1,Brazil,"('Macapa', 'Porto Velho')",2,2
"Exactly 1 of the following cities are in Romania: Bucharest, Cabinda.",1,Romania,"('Bucharest', 'Cabinda')",1,1
"Exactly 2 of the following cities are in Chile: Oujda, Puente Alto.",0,Chile,"('Oujda', 'Puente Alto')",2,1
"Exactly 1 of the following cities are in Sudan: Khartoum, Vinh.",1,Sudan,"('Khartoum', 'Vinh')",1,1
"Exactly 0 of the following cities are in Poland: Wroclaw, Krakow.",0,Poland,"('Krakow', 'Wroclaw')",0,2
"Exactly 0 of the following cities are in Saudi Arabia: Jeddah, Ha'il.",0,Saudi Arabia,"(""Ha'il"", 'Jeddah')",0,2
"Exactly 1 of the following cities are in Nigeria: Owerri, Budapest.",1,Nigeria,"('Budapest', 'Owerri')",1,1
"Exactly 1 of the following cities are in Lebanon: Krasnodar, Fuxin.",0,Lebanon,"('Fuxin', 'Krasnodar')",1,0
"Exactly 1 of the following cities are in Romania: Bengbu, Al Hudaydah.",0,Romania,"('Al Hudaydah', 'Bengbu')",1,0
"Exactly 0 of the following cities are in Burkina Faso: Laiwu, Ouagadougou.",0,Burkina Faso,"('Laiwu', 'Ouagadougou')",0,1
