statement,label,countries,cities,stated_k1,stated_k2,actual_k1,actual_k2
"Exactly 3 of the following cities are in Venezuela and 3 in Uzbekistan: Maturin, Ciudad Guayana, Samarkand, Tashkent, Andijon, Maracaibo.",1,"('Venezuela', 'Uzbekistan')","('Andijon', 'Ciudad Guayana', 'Maracaibo', 'Maturin', 'Samarkand', 'Tashkent')",3,3,3,3
"Exactly 3 of the following cities are in Tanzania and 2 in Uzbekistan: Arusha, Islamabad, Adana, Namangan, Samarkand, Dodoma.",0,"('Tanzania', 'Uzbekistan')","('Adana', 'Arusha', 'Dodoma', 'Islamabad', 'Namangan', 'Samarkand')",3,2,2,2
"Exactly 1 of the following cities are in the United States and 1 in Indonesia: Tucson, Al Fayyum, Yongzhou, South Tangerang, Chicago, Jambi City.",0,"('the United States', 'Indonesia')","('Al Fayyum', 'Chicago', 'Jambi City', 'South Tangerang', 'Tucson', 'Yongzhou')",1,1,2,2
"Exactly 1 of the following cities are in Finland and 3 in Kazakhstan: Aktobe, Astana, Almaty, Nagpur, Guarulhos, Helsinki.",1,"('Finland', 'Kazakhstan')","('Aktobe', 'Almaty', 'Astana', 'Guarulhos', 'Helsinki', 'Nagpur')",1,3,1,3
"Exactly 1 of the following cities are in Lebanon and 4 in New Zealand: Sanya, Auckland, Ra's Bayrut, Beirut, Anqing, South Tangerang.",0,"('Lebanon', 'New Zealand')","('Anqing', 'Auckland', 'Beirut', ""Ra's Bayrut"", 'Sanya', 'South Tangerang')",1,4,2,1
"Exactly 1 of the following cities are in Denmark and 2 in Kenya: Kakamega, Shangrao, Copenhagen, Ajmer, Kathmandu, Nairobi.",1,"('Denmark', 'Kenya')","('Ajmer', 'Copenhagen', 'Kakamega', 'Kathmandu', 'Nairobi', 'Shangrao')",1,2,1,2
"Exactly 4 of the following cities are in Morocco and 2 in Kenya: Agadir, Kakamega, Marrakesh, Tangier, Fes, Nakuru.",1,"('Morocco', 'Kenya')","('Agadir', 'Fes', 'Kakamega', 'Marrakesh', 'Nakuru', 'Tangier')",4,2,4,2
"Exactly 1 of the following cities are in Japan and 4 in Argentina: Hachioji, Hiroshima, Oslo, Cuiaba, San Miguel de Tucuman, Sokoto.",0,"('Japan', 'Argentina')","('Cuiaba', 'Hachioji', 'Hiroshima', 'Oslo', 'San Miguel de Tucuman', 'Sokoto')",1,4,2,1
"Exactly 2 of the following cities are in France and 1 in Japan: Shizuoka, Lu'an, Lyon, Toulouse, Marseille, Saitama.",0,"('France', 'Japan')","(""Lu'an"", 'Lyon', 'Marseille', 'Saitama', 'Shizuoka', 'Toulouse')",2,1,3,2
"Exactly 4 of the following cities are in Ukraine and 2 in Bangladesh: Rangpur, Kyiv, Khulna, Kryvyy Rih, Odesa, Sevastopol.",1,"('Ukraine', 'Bangladesh')","('Khulna', 'Kryvyy Rih', 'Kyiv', 'Odesa', 'Rangpur', 'Sevastopol')",4,2,4,2
"Exactly 1 of the following cities are in Zambia and 1 in Lebanon: Ndola, Ra's Bayrut, Amman, Kitwe, Lome, Beirut.",0,"('Zambia', 'Lebanon')","('Amman', 'Beirut', 'Kitwe', 'Lome', 'Ndola', ""Ra's Bayrut"")",1,1,2,2
"Exactly 2 of the following cities are in Uganda and 2 in Argentina: Mar del Plata, Salta, Kampala, Nansana, Bien Hoa, Guayaquil.",1,"('Uganda', 'Argentina')","('Bien Hoa', 'Guayaquil', 'Kampala', 'Mar del Plata', 'Nansana', 'Salta')",2,2,2,2
"Exactly 1 of the following cities are in Laos and 5 in Russia: Ulyanovsk, Chelyabinsk, Yekaterinburg, Vientiane, Kemerovo, Izhevsk.",1,"('Laos', 'Russia')","('Chelyabinsk', 'Izhevsk', 'Kemerovo', 'Ulyanovsk', 'Vientiane', 'Yekaterinburg')",1,5,1,5
"Exactly 2 of the following cities are in Belarus and 4 in Syria: Homs, Minsk, Ar Raqqah, Aleppo, Homyel', Latakia.",1,"('Belarus', 'Syria')","('Aleppo', 'Ar Raqqah', 'Homs', ""Homyel'"", 'Latakia', 'Minsk')",2,4,2,4
"Exactly 2 of the following cities are in Zimbabwe and 1 in the Philippines: Kallakurichi, Harare, Shenyang, Sultanah, Kemerovo, Davao.",0,"('Zimbabwe', 'the Philippines')","('Davao', 'Harare', 'Kallakurichi', 'Kemerovo', 'Shenyang', 'Sultanah')",2,1,1,1
"Exactly 1 of the following cities are in Ethiopia and 1 in Azerbaijan: Ciudad Guayana, Arifwala, Cangzhou, Bandar Lampung, Addis Ababa, Baku.",1,"('Ethiopia', 'Azerbaijan')","('Addis Ababa', 'Arifwala', 'Baku', 'Bandar Lampung', 'Cangzhou', 'Ciudad Guayana')",1,1,1,1
"Exactly 4 of the following cities are in Brazil and 2 in the Democratic Republic of the Congo: Aparecida de Goiania, Lubumbashi, Juiz de Fora, Kisangani, Duque de Caxias, Florianopolis.",1,"('Brazil', 'the Democratic Republic of the Congo')","('Aparecida de Goiania', 'Duque de Caxias', 'Florianopolis', 'Juiz de Fora', 'Kisangani', 'Lubumbashi')",4,2,4,2
"Exactly 1 of the following cities are in Colombia and 1 in Bulgaria: Cucuta, Ho Chi Minh City, Coyoacan, Sofia, Nellore, Soacha.",0,"('Colombia', 'Bulgaria')","('Coyoacan', 'Cucuta', 'Ho Chi Minh City', 'Nellore', 'Soacha', 'Sofia')",1,1,2,1
"Exactly 3 of the following cities are in Russia and 2 in Pakistan: Chunian, Naberezhnyye Chelny, Shekhupura, Volgograd, Muzaffarabad, Sanya.",0,"('Russia', 'Pakistan')","('Chunian', 'Muzaffarabad', 'Naberezhnyye Chelny', 'Sanya', 'Shekhupura', 'Volgograd')",3,2,2,3
"Exactly 1 of the following cities are in the Democratic Republic of the Congo and 2 in Azerbaijan: Goyang-si, Lubumbashi, Kisangani, Kananga, Baku, Zhangye.",0,"('the Democratic Republic of the Congo', 'Azerbaijan')","('Baku', 'Goyang-si', 'Kananga', 'Kisangani', 'Lubumbashi', 'Zhangye')",1,2,3,1
"Exactly 2 of the following cities are in Turkey and 4 in Venezuela: Ciudad Guayana, Cankaya, Barquisimeto, Maturin, Caracas, Kuecuekcekmece.",1,"('Turkey', 'Venezuela')","('Barquisimeto', 'Cankaya', 'Caracas', 'Ciudad Guayana', 'Kuecuekcekmece', 'Maturin')",2,4,2,4
"Exactly 2 of the following cities are in Peru and 4 in Saudi Arabia: Buraydah, Najran, Sultanah, Callao, Arequipa, Dammam.",1,"('Peru', 'Saudi Arabia')","('Arequipa', 'Buraydah', 'Callao', 'Dammam', 'Najran', 'Sultanah')",2,4,2,4
"Exactly 2 of the following cities are in Canada and 4 in Brazil: Cuiaba, Florianopolis, Calgary, Feira de Santana, Winnipeg, Brasilia.",1,"('Canada', 'Brazil')","('Brasilia', 'Calgary', 'Cuiaba', 'Feira de Santana', 'Florianopolis', 'Winnipeg')",2,4,2,4
"Exactly 1 of the following cities are in Moldova and 1 in Kyrgyzstan: Krakow, Bishkek, Busan, Chisinau, Zhuzhou, Mukalla.",1,"('Moldova', 'Kyrgyzstan')","('Bishkek', 'Busan', 'Chisinau', 'Krakow', 'Mukalla', 'Zhuzhou')",1,1,1,1
"Exactly 4 of the following cities are in Kenya and 2 in Morocco: Nakuru, Kakamega, Nairobi, Kalyan, Meknes, Agadir.",0,"('Kenya', 'Morocco')","('Agadir', 'Kakamega', 'Kalyan', 'Meknes', 'Nairobi', 'Nakuru')",4,2,3,2
"Exactly 1 of the following cities are in Latvia and 5 in Bangladesh: Rajshahi, Pallabi, Chattogram, Gazipur, Riga, Khulna.",1,"('Latvia', 'Bangladesh')","('Chattogram', 'Gazipur', 'Khulna', 'Pallabi', 'Rajshahi', 'Riga')",1,5,1,5
"Exactly 4 of the following cities are in Syria and 2 in Vietnam: Latakia, Homs, Aleppo, Thu GJuc, Bien Hoa, Ar Raqqah.",1,"('Syria', 'Vietnam')","('Aleppo', 'Ar Raqqah', 'Bien Hoa', 'Homs', 'Latakia', 'Thu GJuc')",4,2,4,2
"Exactly 4 of the following cities are in Colombia and 1 in Djibouti: Cucuta, Balbala, Bucaramanga, Kagoshima, Barranquilla, Soacha.",1,"('Colombia', 'Djibouti')","('Balbala', 'Barranquilla', 'Bucaramanga', 'Cucuta', 'Kagoshima', 'Soacha')",4,1,4,1
"Exactly 4 of the following cities are in Morocco and 1 in North Korea: Ganzhou, Fes, Pyongyang, Agadir, Marrakesh, Tangier.",1,"('Morocco', 'North Korea')","('Agadir', 'Fes', 'Ganzhou', 'Marrakesh', 'Pyongyang', 'Tangier')",4,1,4,1
"Exactly 1 of the following cities are in Vietnam and 1 in Afghanistan: Sarajevo, Mazar-e Sharif, Shangluo, Nha Trang, Panshan, Yerevan.",1,"('Vietnam', 'Afghanistan')","('Mazar-e Sharif', 'Nha Trang', 'Panshan', 'Sarajevo', 'Shangluo', 'Yerevan')",1,1,1,1
"Exactly 1 of the following cities are in Myanmar and 2 in Somalia: Langfang, Thuan An, Hlaingthaya, Erzurum, UEruemqi, Mogadishu.",0,"('Myanmar', 'Somalia')","('Erzurum', 'Hlaingthaya', 'Langfang', 'Mogadishu', 'Thuan An', 'UEruemqi')",1,2,1,1
"Exactly 3 of the following cities are in Thailand and 2 in Turkey: Gaziantep, Pimpri, Erzurum, Bangkok, Bursa, Al Mahallah al Kubra.",0,"('Thailand', 'Turkey')","('Al Mahallah al Kubra', 'Bangkok', 'Bursa', 'Erzurum', 'Gaziantep', 'Pimpri')",3,2,1,3
"Exactly 2 of the following cities are in Morocco and 4 in Colombia: Bucaramanga, Cucuta, Soacha, Ibague, Barranquilla, Fes.",0,"('Morocco', 'Colombia')","('Barranquilla', 'Bucaramanga', 'Cucuta', 'Fes', 'Ibague', 'Soacha')",2,4,1,5
"Exactly 1 of the following cities are in the Democratic Republic of the Congo and 3 in Armenia: Jinzhong, Makkah, Tshikapa, Bandar Lampung, Lahore, Yerevan.",0,"('the Democratic Republic of the Congo', 'Armenia')","('Bandar Lampung', 'Jinzhong', 'Lahore', 'Makkah', 'Tshikapa', 'Yerevan')",1,3,1,1
"Exactly 3 of the following cities are in Zambia and 3 in Jordan: Ndola, Zarqa, Amman, Lusaka, Kitwe, Irbid.",1,"('Zambia', 'Jordan')","('Amman', 'Irbid', 'Kitwe', 'Lusaka', 'Ndola', 'Zarqa')",3,3,3,3
"Exactly 4 of the following cities are in Morocco and 2 in Senegal: Pikine, Fes, Marrakesh, Tangier, Agadir, Dakar.",1,"('Morocco', 'Senegal')","('Agadir', 'Dakar', 'Fes', 'Marrakesh', 'Pikine', 'Tangier')",4,2,4,2
"Exactly 1 of the following cities are in Bangladesh and 4 in Poland: Rangpur, Wroclaw, Pallabi, Krakow, Mirpur Model Thana, Chattogram.",0,"('Bangladesh', 'Poland')","('Chattogram', 'Krakow', 'Mirpur Model Thana', 'Pallabi', 'Rangpur', 'Wroclaw')",1,4,4,2
"Exactly 3 of the following cities are in Colombia and 1 in Germany: Weihai, Jalandhar, Koeln, Taiz, Barranquilla, Lviv.",0,"('Colombia', 'Germany')","('Barranquilla', 'Jalandhar', 'Koeln', 'Lviv', 'Taiz', 'Weihai')",3,1,1,1
"Exactly 3 of the following cities are in Zimbabwe and 2 in Mauritania: Huludao, Nouakchott, Bulawayo, Kota Bharu, Muscat, Oujda.",0,"('Zimbabwe', 'Mauritania')","('Bulawayo', 'Huludao', 'Kota Bharu', 'Muscat', 'Nouakchott', 'Oujda')",3,2,1,1
"Exactly 2 of the following cities are in the Philippines and 4 in Russia: Lipetsk, Malingao, Pasig City, Volgograd, Tyumen, Ulyanovsk.",1,"('the Philippines', 'Russia')","('Lipetsk', 'Malingao', 'Pasig City', 'Tyumen', 'Ulyanovsk', 'Volgograd')",2,4,2,4
"Exactly 1 of the following cities are in Kyrgyzstan and 5 in South Africa: Durban, Bloemfontein, Soweto, Johannesburg, Bishkek, Gqeberha.",1,"('Kyrgyzstan', 'South Africa')","('Bishkek', 'Bloemfontein', 'Durban', 'Gqeberha', 'Johannesburg', 'Soweto')",1,5,1,5
"Exactly 5 of the following cities are in Morocco and 1 in Lithuania: Marrakesh, Agadir, Meknes, Oujda, Fes, Vilnius.",1,"('Morocco', 'Lithuania')","('Agadir', 'Fes', 'Marrakesh', 'Meknes', 'Oujda', 'Vilnius')",5,1,5,1
"Exactly 1 of the following cities are in Peru and 2 in Ecuador: Beirut, Banjarmasin, Guayaquil, Toulouse, Quito, Chiclayo.",1,"('Peru', 'Ecuador')","('Banjarmasin', 'Beirut', 'Chiclayo', 'Guayaquil', 'Quito', 'Toulouse')",1,2,1,2
"Exactly 3 of the following cities are in China and 3 in Lithuania: Tanggu, Frankfurt am Main, Fushun, Mysuru, Vilnius, Hefei.",0,"('China', 'Lithuania')","('Frankfurt am Main', 'Fushun', 'Hefei', 'Mysuru', 'Tanggu', 'Vilnius')",3,3,3,1
"Exactly 1 of the following cities are in Burkina Faso and 5 in Mozambique: Maputo, Ajegunle, Nampula, Beira, Ouagadougou, Munich.",0,"('Burkina Faso', 'Mozambique')","('Ajegunle', 'Beira', 'Maputo', 'Munich', 'Nampula', 'Ouagadougou')",1,5,1,3
"Exactly 3 of the following cities are in the United States and 3 in Jordan: Zarqa, Fort Worth, Amman, Albuquerque, Seattle, Irbid.",1,"('the United States', 'Jordan')","('Albuquerque', 'Amman', 'Fort Worth', 'Irbid', 'Seattle', 'Zarqa')",3,3,3,3
"Exactly 1 of the following cities are in South Korea and 3 in Kazakhstan: Almaty, Busan, Izmir, Ansan-si, Shymkent, Suwon.",0,"('South Korea', 'Kazakhstan')","('Almaty', 'Ansan-si', 'Busan', 'Izmir', 'Shymkent', 'Suwon')",1,3,3,2
"Exactly 3 of the following cities are in Hungary and 3 in Guinea: Camayenne, Shymkent, Conakry, Budapest, Kasur, Ludhiana.",0,"('Hungary', 'Guinea')","('Budapest', 'Camayenne', 'Conakry', 'Kasur', 'Ludhiana', 'Shymkent')",3,3,1,2
"Exactly 2 of the following cities are in Hungary and 1 in Russia: Nizhniy Novgorod, Budapest, Yekaterinburg, Zhoushan, Vladivostok, Pest.",0,"('Hungary', 'Russia')","('Budapest', 'Nizhniy Novgorod', 'Pest', 'Vladivostok', 'Yekaterinburg', 'Zhoushan')",2,1,2,3
"Exactly 1 of the following cities are in Sudan and 1 in Germany: Leipzig, Nyala, Omdurman, Khartoum North, Frankfurt am Main, Khartoum.",0,"('Sudan', 'Germany')","('Frankfurt am Main', 'Khartoum', 'Khartoum North', 'Leipzig', 'Nyala', 'Omdurman')",1,1,4,2
"Exactly 2 of the following cities are in Indonesia and 1 in Jamaica: Karachi, Tasikmalaya, Oslo, Balikpapan, New Kingston, Kunming.",1,"('Indonesia', 'Jamaica')","('Balikpapan', 'Karachi', 'Kunming', 'New Kingston', 'Oslo', 'Tasikmalaya')",2,1,2,1
"Exactly 3 of the following cities are in Canada and 3 in Zambia: Quebec, Ndola, Mississauga, Winnipeg, Kitwe, Lusaka.",1,"('Canada', 'Zambia')","('Kitwe', 'Lusaka', 'Mississauga', 'Ndola', 'Quebec', 'Winnipeg')",3,3,3,3
"Exactly 3 of the following cities are in Iraq and 2 in Egypt: Karbala, Giza, Erbil, Sadr City, Al Basrah al Qadimah, Basrah.",0,"('Iraq', 'Egypt')","('Al Basrah al Qadimah', 'Basrah', 'Erbil', 'Giza', 'Karbala', 'Sadr City')",3,2,5,1
"Exactly 4 of the following cities are in Somalia and 2 in Canada: Mudanjiang, Borama, Guangzhou, Changde, Mississauga, Winnipeg.",0,"('Somalia', 'Canada')","('Borama', 'Changde', 'Guangzhou', 'Mississauga', 'Mudanjiang', 'Winnipeg')",4,2,1,2
"Exactly 1 of the following cities are in the Democratic Republic of the Congo and 2 in Syria: Latakia, Likasi, Kolwezi, Kisangani, Lubumbashi, Tshikapa.",0,"('the Democratic Republic of the Congo', 'Syria')","('Kisangani', 'Kolwezi', 'Latakia', 'Likasi', 'Lubumbashi', 'Tshikapa')",1,2,5,1
"Exactly 4 of the following cities are in Sudan and 1 in Germany: Khartoum North, Omdurman, Nyala, Sofia, Nuremberg, Khartoum.",1,"('Sudan', 'Germany')","('Khartoum', 'Khartoum North', 'Nuremberg', 'Nyala', 'Omdurman', 'Sofia')",4,1,4,1
"Exactly 1 of the following cities are in Indonesia and 4 in Yemen: Homs, Bekasi, Aden, Ibb, Xuzhou, Jakarta.",0,"('Indonesia', 'Yemen')","('Aden', 'Bekasi', 'Homs', 'Ibb', 'Jakarta', 'Xuzhou')",1,4,2,2
"Exactly 4 of the following cities are in Kenya and 1 in Yemen: Nairobi, Taiz, Mombasa, Kakamega, Toulouse, Nakuru.",1,"('Kenya', 'Yemen')","('Kakamega', 'Mombasa', 'Nairobi', 'Nakuru', 'Taiz', 'Toulouse')",4,1,4,1
"Exactly 3 of the following cities are in Canada and 1 in North Korea: Pyongyang, Calgary, Quebec, Eskisehir, Winnipeg, Cangzhou.",1,"('Canada', 'North Korea')","('Calgary', 'Cangzhou', 'Eskisehir', 'Pyongyang', 'Quebec', 'Winnipeg')",3,1,3,1
"Exactly 2 of the following cities are in India and 3 in Uzbekistan: Namangan, Andijon, Evaton, Dehradun, Tashkent, Jamnagar.",1,"('India', 'Uzbekistan')","('Andijon', 'Dehradun', 'Evaton', 'Jamnagar', 'Namangan', 'Tashkent')",2,3,2,3
"Exactly 4 of the following cities are in Zambia and 2 in Peru: Cuttack, Arequipa, Battagram, Hohhot, Chiclayo, Lusaka.",0,"('Zambia', 'Peru')","('Arequipa', 'Battagram', 'Chiclayo', 'Cuttack', 'Hohhot', 'Lusaka')",4,2,1,2
"Exactly 5 of the following cities are in Japan and 1 in Lebanon: Changshu, Nagoya, Kagoshima, Chicago, Ra's Bayrut, Beirut.",0,"('Japan', 'Lebanon')","('Beirut', 'Changshu', 'Chicago', 'Kagoshima', 'Nagoya', ""Ra's Bayrut"")",5,1,2,2
"Exactly 1 of the following cities are in Mexico and 5 in Morocco: Agadir, Oujda, Iztapalapa, Fes, Marrakesh, Meknes.",1,"('Mexico', 'Morocco')","('Agadir', 'Fes', 'Iztapalapa', 'Marrakesh', 'Meknes', 'Oujda')",1,5,1,5
"Exactly 2 of the following cities are in Angola and 1 in Chile: Belford Roxo, Sultanah, Ho Chi Minh City, Hoji ya Henda, Puente Alto, Gurugram.",0,"('Angola', 'Chile')","('Belford Roxo', 'Gurugram', 'Ho Chi Minh City', 'Hoji ya Henda', 'Puente Alto', 'Sultanah')",2,1,1,1
"Exactly 1 of the following cities are in Madagascar and 4 in Venezuela: Maturin, Antananarivo, Barquisimeto, Maracaibo, Guayaquil, Caracas.",1,"('Madagascar', 'Venezuela')","('Antananarivo', 'Barquisimeto', 'Caracas', 'Guayaquil', 'Maracaibo', 'Maturin')",1,4,1,4
"Exactly 1 of the following cities are in Côte d'Ivoire and 4 in Uzbekistan: Abobo, Andijon, Namangan, Samarkand, Tashkent, Suining.",1,"(""Côte d'Ivoire"", 'Uzbekistan')","('Abobo', 'Andijon', 'Namangan', 'Samarkand', 'Suining', 'Tashkent')",1,4,1,4
"Exactly 2 of the following cities are in Ecuador and 3 in Ukraine: Kyiv, Kryvyy Rih, Dnipro, Guayaquil, Quito, Zhanjiang.",1,"('Ecuador', 'Ukraine')","('Dnipro', 'Guayaquil', 'Kryvyy Rih', 'Kyiv', 'Quito', 'Zhanjiang')",2,3,2,3
"Exactly 4 of the following cities are in France and 1 in China: Amman, Zhabei, Jingmen, Lyon, Qingpu, Taicang.",0,"('France', 'China')","('Amman', 'Jingmen', 'Lyon', 'Qingpu', 'Taicang', 'Zhabei')",4,1,1,4
"Exactly 1 of the following cities are in Kenya and 2 in Argentina: Nairobi, San Miguel de Tucuman, Salta, Xiamen, Mar del Plata, Nakuru.",0,"('Kenya', 'Argentina')","('Mar del Plata', 'Nairobi', 'Nakuru', 'Salta', 'San Miguel de Tucuman', 'Xiamen')",1,2,2,3
"Exactly 2 of the following cities are in Pakistan and 1 in Nepal: Nha Trang, Las Pinas, Dera Ismail Khan, Kathmandu, Sharjah, Bannu.",1,"('Pakistan', 'Nepal')","('Bannu', 'Dera Ismail Khan', 'Kathmandu', 'Las Pinas', 'Nha Trang', 'Sharjah')",2,1,2,1
"Exactly 1 of the following cities are in Moldova and 3 in Iraq: Accra, Kirkuk, Al Mawsil al Jadidah, Sulaymaniyah, Chisinau, Shantou.",1,"('Moldova', 'Iraq')","('Accra', 'Al Mawsil al Jadidah', 'Chisinau', 'Kirkuk', 'Shantou', 'Sulaymaniyah')",1,3,1,3
"Exactly 1 of the following cities are in Senegal and 3 in Haiti: Port-au-Prince, Jilin, Indore, Carrefour, Dakar, Pikine.",0,"('Senegal', 'Haiti')","('Carrefour', 'Dakar', 'Indore', 'Jilin', 'Pikine', 'Port-au-Prince')",1,3,2,2
"Exactly 1 of the following cities are in Somalia and 5 in Tajikistan: Kota Kinabalu, Krasnodar, Borama, Dushanbe, Teresina, Mogadishu.",0,"('Somalia', 'Tajikistan')","('Borama', 'Dushanbe', 'Kota Kinabalu', 'Krasnodar', 'Mogadishu', 'Teresina')",1,5,2,1
"Exactly 3 of the following cities are in the Democratic Republic of the Congo and 3 in Malaysia: Kikwit, Piura, Pelentong, Kinshasa, Ipoh, Seoul.",0,"('the Democratic Republic of the Congo', 'Malaysia')","('Ipoh', 'Kikwit', 'Kinshasa', 'Pelentong', 'Piura', 'Seoul')",3,3,2,2
"Exactly 1 of the following cities are in Côte d'Ivoire and 1 in Morocco: Bouake, Conakry, Fes, Agadir, Oujda, New South Memphis.",0,"(""Côte d'Ivoire"", 'Morocco')","('Agadir', 'Bouake', 'Conakry', 'Fes', 'New South Memphis', 'Oujda')",1,1,1,3
"Exactly 3 of the following cities are in Syria and 1 in Colombia: Lubumbashi, Pingliang, Ar Raqqah, Barranquilla, Homs, Latakia.",1,"('Syria', 'Colombia')","('Ar Raqqah', 'Barranquilla', 'Homs', 'Latakia', 'Lubumbashi', 'Pingliang')",3,1,3,1
"Exactly 5 of the following cities are in Mexico and 1 in Brazil: Belford Roxo, Naucalpan de Juarez, Londrina, Fukuoka, Bloemfontein, Zapopan.",0,"('Mexico', 'Brazil')","('Belford Roxo', 'Bloemfontein', 'Fukuoka', 'Londrina', 'Naucalpan de Juarez', 'Zapopan')",5,1,2,2
"Exactly 4 of the following cities are in India and 2 in the Dominican Republic: Amravati, Santo Domingo Este, Kolhapur, Santo Domingo Oeste, Pimpri, Mumbai.",1,"('India', 'the Dominican Republic')","('Amravati', 'Kolhapur', 'Mumbai', 'Pimpri', 'Santo Domingo Este', 'Santo Domingo Oeste')",4,2,4,2
"Exactly 1 of the following cities are in Burkina Faso and 2 in Turkmenistan: Bobo-Dioulasso, Ludhiana, Ulanqab, Bijie, Kolhapur, Ashgabat.",0,"('Burkina Faso', 'Turkmenistan')","('Ashgabat', 'Bijie', 'Bobo-Dioulasso', 'Kolhapur', 'Ludhiana', 'Ulanqab')",1,2,1,1
