statement,label,city,country,correct_country
The city of Nowrangapur is in Ukraine.,0,Nowrangapur,Ukraine,India
The city of Jinzhong is in Russia.,0,Jinzhong,Russia,China
The city of New Kingston is in Jordan.,0,New Kingston,Jordan,Jamaica
The city of Chengdu is in South Africa.,0,Chengdu,South Africa,China
The city of Shaoxing is in China.,1,Shaoxing,China,China
The city of San Miguel de Tucuman is in Argentina.,1,San Miguel de Tucuman,Argentina,Argentina
The city of Arusha is in Vietnam.,0,Arusha,Vietnam,Tanzania
The city of Mersin is in Turkey.,1,Mersin,Turkey,Turkey
The city of Barquisimeto is in Venezuela.,1,Barquisimeto,Venezuela,Venezuela
The city of Lianyungang is in Mozambique.,0,Lianyungang,Mozambique,China
The city of Malacca is in Malaysia.,1,Malacca,Malaysia,Malaysia
The city of Xianning is in Russia.,0,Xianning,Russia,China
The city of Bannu is in Senegal.,0,Bannu,Senegal,Pakistan
The city of Hangzhou is in China.,1,Hangzhou,China,China
The city of The Bronx is in the United States.,1,The Bronx,the United States,the United States
The city of Odesa is in Ukraine.,1,Odesa,Ukraine,Ukraine
The city of Dnipro is in Ukraine.,1,Dnipro,Ukraine,Ukraine
The city of Katsina is in Nigeria.,1,Katsina,Nigeria,Nigeria
The city of Khartoum is in India.,0,Khartoum,India,Sudan
The city of Sanmenxia is in China.,1,Sanmenxia,China,China
The city of Kashgar is in Peru.,0,Kashgar,Peru,China
The city of Asansol is in China.,0,Asansol,China,India
The city of Makkah is in Myanmar.,0,Makkah,Myanmar,Saudi Arabia
The city of Kyoto is in Japan.,1,Kyoto,Japan,Japan
The city of Anshan is in China.,1,Anshan,China,China
The city of Al Mawsil al Jadidah is in the United States.,0,Al Mawsil al Jadidah,the United States,Iraq
The city of Cheongju-si is in Japan.,0,Cheongju-si,Japan,South Korea
The city of Osogbo is in Malaysia.,0,Osogbo,Malaysia,Nigeria
The city of Hanzhong is in Nigeria.,0,Hanzhong,Nigeria,China
The city of Taicang is in China.,1,Taicang,China,China
The city of Sulaymaniyah is in Iraq.,1,Sulaymaniyah,Iraq,Iraq
The city of Zhongwei is in China.,1,Zhongwei,China,China
The city of Shah Alam is in Mexico.,0,Shah Alam,Mexico,Malaysia
The city of Porto Alegre is in Brazil.,1,Porto Alegre,Brazil,Brazil
The city of Chizhou is in China.,1,Chizhou,China,China
The city of Kigali is in Rwanda.,1,Kigali,Rwanda,Rwanda
The city of Tangier is in Egypt.,0,Tangier,Egypt,Morocco
The city of Thembisa is in Yemen.,0,Thembisa,Yemen,South Africa
The city of Santo Domingo Este is in the Philippines.,0,Santo Domingo Este,the Philippines,the Dominican Republic
The city of Sagamihara is in China.,0,Sagamihara,China,Japan
The city of Ananindeua is in Iran.,0,Ananindeua,Iran,Brazil
The city of Rasapudipalem is in India.,1,Rasapudipalem,India,India
The city of Kaduna is in India.,0,Kaduna,India,Nigeria
The city of Benxi is in Peru.,0,Benxi,Peru,China
The city of Bahawalpur is in Pakistan.,1,Bahawalpur,Pakistan,Pakistan
The city of Pingliang is in China.,1,Pingliang,China,China
The city of Kitwe is in Zambia.,1,Kitwe,Zambia,Zambia
The city of Karol Bagh is in India.,1,Karol Bagh,India,India
The city of Karbala is in Iraq.,1,Karbala,Iraq,Iraq
The city of Lilongwe is in Cameroon.,0,Lilongwe,Cameroon,Malawi
The city of Shaoguan is in Angola.,0,Shaoguan,Angola,China
The city of Warangal is in Myanmar.,0,Warangal,Myanmar,India
The city of Ouagadougou is in Egypt.,0,Ouagadougou,Egypt,Burkina Faso
The city of Bengaluru is in Vietnam.,0,Bengaluru,Vietnam,India
The city of Fort Worth is in the United States.,1,Fort Worth,the United States,the United States
The city of Niluefer is in Turkey.,1,Niluefer,Turkey,Turkey
The city of Zibo is in Bangladesh.,0,Zibo,Bangladesh,China
The city of Linfen is in China.,1,Linfen,China,China
The city of Hermosillo is in Mexico.,1,Hermosillo,Mexico,Mexico
The city of Beirut is in Lebanon.,1,Beirut,Lebanon,Lebanon
The city of Sapporo is in Turkey.,0,Sapporo,Turkey,Japan
The city of Feira de Santana is in Vietnam.,0,Feira de Santana,Vietnam,Brazil
The city of Chuzhou is in China.,1,Chuzhou,China,China
The city of Detroit is in the Democratic Republic of the Congo.,0,Detroit,the Democratic Republic of the Congo,the United States
The city of Soacha is in India.,0,Soacha,India,Colombia
The city of Agege is in Nigeria.,1,Agege,Nigeria,Nigeria
The city of Kalyan is in China.,0,Kalyan,China,India
The city of Bahawalpur is in Myanmar.,0,Bahawalpur,Myanmar,Pakistan
The city of Guwahati is in China.,0,Guwahati,China,India
The city of Nanchang is in India.,0,Nanchang,India,China
The city of Prayagraj is in India.,1,Prayagraj,India,India
The city of Maturin is in Brazil.,0,Maturin,Brazil,Venezuela
The city of Bhiwandi is in India.,1,Bhiwandi,India,India
The city of Vilnius is in Lithuania.,1,Vilnius,Lithuania,Lithuania
The city of Orumiyeh is in Iran.,1,Orumiyeh,Iran,Iran
The city of Ningbo is in Russia.,0,Ningbo,Russia,China
The city of Samarkand is in Burundi.,0,Samarkand,Burundi,Uzbekistan
The city of Heroica Matamoros is in China.,0,Heroica Matamoros,China,Mexico
The city of Porto Alegre is in China.,0,Porto Alegre,China,Brazil
The city of Quebec is in India.,0,Quebec,India,Canada
The city of Xuancheng is in China.,1,Xuancheng,China,China
The city of Niteroi is in Brazil.,1,Niteroi,Brazil,Brazil
The city of Gujrat is in Saudi Arabia.,0,Gujrat,Saudi Arabia,Pakistan
The city of Sulaymaniyah is in China.,0,Sulaymaniyah,China,Iraq
The city of Xuzhou is in China.,1,Xuzhou,China,China
The city of Selayang Baru Utara is in India.,0,Selayang Baru Utara,India,Malaysia
The city of Lviv is in China.,0,Lviv,China,Ukraine
The city of Matola is in Mozambique.,1,Matola,Mozambique,Mozambique
The city of Bhayandar is in India.,1,Bhayandar,India,India
The city of Bhiwandi is in China.,0,Bhiwandi,China,India
The city of Jammu is in Russia.,0,Jammu,Russia,India
The city of Lyon is in France.,1,Lyon,France,France
The city of Guang'an is in Japan.,0,Guang'an,Japan,China
The city of Zhabei is in China.,1,Zhabei,China,China
The city of Hefei is in Russia.,0,Hefei,Russia,China
The city of Jos is in India.,0,Jos,India,Nigeria
The city of Cuiaba is in China.,0,Cuiaba,China,Brazil
The city of Foshan is in South Africa.,0,Foshan,South Africa,China
The city of Najran is in China.,0,Najran,China,Saudi Arabia
The city of Ankara is in Turkey.,1,Ankara,Turkey,Turkey
The city of Sadr City is in Iraq.,1,Sadr City,Iraq,Iraq
The city of Niigata is in Japan.,1,Niigata,Japan,Japan
The city of Hannover is in Germany.,1,Hannover,Germany,Germany
The city of Zhuzhou is in China.,1,Zhuzhou,China,China
The city of Culiacan is in Indonesia.,0,Culiacan,Indonesia,Mexico
The city of Wroclaw is in China.,0,Wroclaw,China,Poland
The city of Hermosillo is in China.,0,Hermosillo,China,Mexico
The city of Cagayan de Oro is in the United States.,0,Cagayan de Oro,the United States,the Philippines
The city of Puducherry is in China.,0,Puducherry,China,India
The city of Lubango is in India.,0,Lubango,India,Angola
The city of Cho Lon is in the Dominican Republic.,0,Cho Lon,the Dominican Republic,Vietnam
The city of Seongnam-si is in South Korea.,1,Seongnam-si,South Korea,South Korea
The city of Jeddah is in the Democratic Republic of the Congo.,0,Jeddah,the Democratic Republic of the Congo,Saudi Arabia
The city of Qujing is in Turkey.,0,Qujing,Turkey,China
The city of Quito is in Russia.,0,Quito,Russia,Ecuador
The city of Zaria is in Nigeria.,1,Zaria,Nigeria,Nigeria
The city of Xingtai is in China.,1,Xingtai,China,China
The city of Cabinda is in South Africa.,0,Cabinda,South Africa,Angola
The city of Tianshui is in Turkey.,0,Tianshui,Turkey,China
The city of Lusaka is in China.,0,Lusaka,China,Zambia
The city of Shihezi is in China.,1,Shihezi,China,China
The city of Amman is in Japan.,0,Amman,Japan,Jordan
The city of Subang Jaya is in Malaysia.,1,Subang Jaya,Malaysia,Malaysia
The city of Gustavo Adolfo Madero is in China.,0,Gustavo Adolfo Madero,China,Mexico
The city of Tlaquepaque is in Sudan.,0,Tlaquepaque,Sudan,Mexico
The city of Toulouse is in France.,1,Toulouse,France,France
The city of Kirkuk is in the United States.,0,Kirkuk,the United States,Iraq
The city of Bamako is in Mali.,1,Bamako,Mali,Mali
The city of Zaria is in Pakistan.,0,Zaria,Pakistan,Nigeria
The city of Al Basrah al Qadimah is in Iraq.,1,Al Basrah al Qadimah,Iraq,Iraq
The city of Mazar-e Sharif is in India.,0,Mazar-e Sharif,India,Afghanistan
The city of Mosul is in Iraq.,1,Mosul,Iraq,Iraq
The city of Edogawe is in Ukraine.,0,Edogawe,Ukraine,Japan
The city of Bhubaneswar is in India.,1,Bhubaneswar,India,India
The city of Tiruppur is in India.,1,Tiruppur,India,India
The city of Zhongwei is in Jamaica.,0,Zhongwei,Jamaica,China
The city of Loni is in India.,1,Loni,India,India
The city of Asansol is in India.,1,Asansol,India,India
The city of Xuzhou is in India.,0,Xuzhou,India,China
The city of Shijiazhuang is in China.,1,Shijiazhuang,China,China
The city of Camayenne is in Guinea.,1,Camayenne,Guinea,Guinea
The city of Lahore is in Pakistan.,1,Lahore,Pakistan,Pakistan
The city of Buraydah is in India.,0,Buraydah,India,Saudi Arabia
The city of Bouake is in China.,0,Bouake,China,Côte d'Ivoire
The city of Kharkiv is in Iraq.,0,Kharkiv,Iraq,Ukraine
The city of Bucheon-si is in Uzbekistan.,0,Bucheon-si,Uzbekistan,South Korea
The city of Makkah is in Saudi Arabia.,1,Makkah,Saudi Arabia,Saudi Arabia
The city of Hegang is in Kyrgyzstan.,0,Hegang,Kyrgyzstan,China
The city of Durban is in Eritrea.,0,Durban,Eritrea,South Africa
The city of Penza is in Colombia.,0,Penza,Colombia,Russia
The city of Nellore is in Egypt.,0,Nellore,Egypt,India
The city of Santiago de los Caballeros is in Bangladesh.,0,Santiago de los Caballeros,Bangladesh,the Dominican Republic
The city of Naberezhnyye Chelny is in Russia.,1,Naberezhnyye Chelny,Russia,Russia
The city of Winnipeg is in Indonesia.,0,Winnipeg,Indonesia,Canada
The city of Bagcilar is in Turkey.,1,Bagcilar,Turkey,Turkey
The city of Agege is in Japan.,0,Agege,Japan,Nigeria
The city of Jeonju is in South Korea.,1,Jeonju,South Korea,South Korea
The city of Mar del Plata is in Argentina.,1,Mar del Plata,Argentina,Argentina
The city of Zhaoqing is in Mexico.,0,Zhaoqing,Mexico,China
The city of Lubumbashi is in the Democratic Republic of the Congo.,1,Lubumbashi,the Democratic Republic of the Congo,the Democratic Republic of the Congo
The city of Luancheng is in China.,1,Luancheng,China,China
The city of Puente Alto is in Chile.,1,Puente Alto,Chile,Chile
The city of Mudanjiang is in China.,1,Mudanjiang,China,China
The city of Cucuta is in Nigeria.,0,Cucuta,Nigeria,Colombia
The city of Deyang is in China.,1,Deyang,China,China
The city of Krasnodar is in Russia.,1,Krasnodar,Russia,Russia
The city of Lodz is in Poland.,1,Lodz,Poland,Poland
The city of Tanggu is in China.,1,Tanggu,China,China
The city of Tasikmalaya is in China.,0,Tasikmalaya,China,Indonesia
The city of Cixi is in China.,1,Cixi,China,China
The city of Kayseri is in Turkey.,1,Kayseri,Turkey,Turkey
The city of Borama is in South Korea.,0,Borama,South Korea,Somalia
The city of Cuttack is in Jordan.,0,Cuttack,Jordan,India
The city of Xiamen is in Brazil.,0,Xiamen,Brazil,China
The city of Ulan Bator is in Mongolia.,1,Ulan Bator,Mongolia,Mongolia
The city of Weifang is in China.,1,Weifang,China,China
The city of Wuzhong is in China.,1,Wuzhong,China,China
The city of Conakry is in Sudan.,0,Conakry,Sudan,Guinea
